CID,FID,Community,DOI_d,DOI_m,DOI_y,D_ID,D_Name,EndTime_hrs,EndTime_mins,Language 1,Language 2,Language 3,M_ID,P_ID,P_Name,StartTime_hrs,StartTime_mins,Survey_Round,T_ID,T_Name,UC_ID,UC_Name
101010101.0,1010101011.0,1.0,21.0,3.0,2012.0,1.0,KASUR,11.0,10.0,1.0,0.0,0.0,1.0,1.0,PUNJAB,10.0,35.0,1.0,1.0,CHUNIAN,1.0,
101010202.0,1010102022.0,2.0,24.0,3.0,2012.0,1.0,KASUR,11.0,15.0,1.0,2.0,0.0,2.0,1.0,PUNJAB,10.0,8.0,1.0,1.0,CHUNIAN,2.0,
101010203.0,1010102033.0,3.0,2.0,4.0,2012.0,1.0,KASUR,18.0,55.0,1.0,2.0,0.0,3.0,1.0,PUNJAB,18.0,10.0,1.0,1.0,CHUNIAN,2.0,
101020304.0,1010203044.0,4.0,6.0,4.0,2012.0,1.0,KASUR,11.0,25.0,1.0,2.0,0.0,4.0,1.0,PUNJAB,9.0,55.0,1.0,2.0,PATTOKI,3.0,
102030405.0,1020304051.0,1.0,20.0,3.0,2012.0,2.0,BHAKKAR,17.0,40.0,1.0,3.0,7.0,5.0,1.0,PUNJAB,16.0,10.0,1.0,3.0,BHAKKAR,4.0,
102030506.0,1020305062.0,2.0,26.0,3.0,2012.0,2.0,BHAKKAR,13.0,30.0,3.0,1.0,0.0,6.0,1.0,PUNJAB,12.0,17.0,1.0,3.0,BHAKKAR,5.0,
102030607.0,1020306073.0,3.0,8.0,4.0,2012.0,2.0,BHAKKAR,17.0,27.0,3.0,1.0,7.0,7.0,1.0,PUNJAB,16.0,29.0,1.0,3.0,BHAKKAR,6.0,
102040708.0,1020407084.0,4.0,4.0,4.0,2012.0,2.0,BHAKKAR,15.0,40.0,3.0,2.0,0.0,8.0,1.0,PUNJAB,14.0,23.0,1.0,4.0,DARYA KHAN,7.0,
103050809.0,1030508091.0,1.0,29.0,3.0,2012.0,3.0,KHANEWAL,10.0,14.0,1.0,3.0,9.0,9.0,1.0,PUNJAB,9.0,34.0,1.0,5.0,KHANEWAL,8.0,
103060910.0,1030609102.0,2.0,16.0,4.0,2012.0,3.0,KHANEWAL,11.0,30.0,1.0,9.0,2.0,10.0,1.0,PUNJAB,10.0,15.0,1.0,6.0,MIAN CHANNU,9.0,
103061011.0,1030610113.0,3.0,22.0,3.0,2012.0,3.0,KHANEWAL,17.0,10.0,1.0,6.0,9.0,11.0,1.0,PUNJAB,14.0,20.0,1.0,6.0,MIAN CHANNU,10.0,
103071112.0,1030711124.0,4.0,9.0,4.0,2012.0,3.0,KHANEWAL,7.0,0.0,7.0,1.0,3.0,12.0,1.0,PUNJAB,6.0,30.0,1.0,7.0,JAHANIAN,11.0,
104081213.0,1040812131.0,1.0,27.0,3.0,2012.0,4.0,ATTOCK,13.0,20.0,1.0,4.0,7.0,13.0,1.0,PUNJAB,11.0,12.0,1.0,8.0,ATTOCK,12.0,
104081314.0,1040813142.0,2.0,22.0,3.0,2012.0,4.0,ATTOCK,9.0,35.0,1.0,2.0,7.0,14.0,1.0,PUNJAB,8.0,40.0,1.0,8.0,ATTOCK,13.0,
104081415.0,1040814153.0,3.0,14.0,3.0,2012.0,4.0,ATTOCK,11.0,45.0,5.0,1.0,7.0,15.0,1.0,PUNJAB,10.0,30.0,1.0,8.0,ATTOCK,14.0,
104091516.0,1040915164.0,4.0,17.0,3.0,2012.0,4.0,ATTOCK,12.0,50.0,1.0,5.0,2.0,16.0,1.0,PUNJAB,11.0,40.0,1.0,9.0,FATEH JANH,15.0,
105101617.0,1051016171.0,1.0,18.0,3.0,2012.0,5.0,VEHARI,16.0,55.0,3.0,1.0,2.0,17.0,1.0,PUNJAB,16.0,20.0,1.0,10.0,MAILSI,16.0,
105101718.0,1051017182.0,2.0,30.0,3.0,2012.0,5.0,VEHARI,13.0,0.0,3.0,0.0,0.0,18.0,1.0,PUNJAB,11.0,30.0,1.0,10.0,MAILSI,17.0,
105111819.0,1051118193.0,3.0,4.0,4.0,2012.0,5.0,VEHARI,12.0,25.0,1.0,0.0,0.0,19.0,1.0,PUNJAB,11.0,10.0,1.0,11.0,VEHARI,18.0,
105121920.0,1051219204.0,4.0,8.0,4.0,2012.0,5.0,VEHARI,15.0,55.0,1.0,2.0,0.0,20.0,1.0,PUNJAB,15.0,10.0,1.0,12.0,BUREWALA,19.0,
106132021.0,1061320211.0,1.0,26.0,3.0,2012.0,6.0,JHANG,13.0,45.0,1.0,2.0,0.0,21.0,1.0,PUNJAB,13.0,10.0,1.0,13.0,SHORKOT,20.0,
106132122.0,1061321222.0,2.0,2.0,4.0,2012.0,6.0,JHANG,11.0,45.0,1.0,2.0,0.0,22.0,1.0,PUNJAB,11.0,0.0,1.0,13.0,SHORKOT,21.0,
106142223.0,1061422233.0,3.0,15.0,3.0,2012.0,6.0,JHANG,13.0,55.0,1.0,2.0,0.0,23.0,1.0,PUNJAB,12.0,36.0,1.0,14.0,CHINIOT,22.0,
106142324.0,1061423244.0,4.0,21.0,3.0,2012.0,6.0,JHANG,11.0,12.0,1.0,2.0,0.0,24.0,1.0,PUNJAB,9.0,40.0,1.0,14.0,CHINIOT,23.0,
107152425.0,1071524251.0,1.0,2.0,4.0,2012.0,7.0,D G KHAN,11.0,43.0,3.0,8.0,2.0,25.0,1.0,PUNJAB,10.0,57.0,1.0,15.0,D G KHAN,24.0,
107162526.0,1071625262.0,2.0,16.0,4.0,2012.0,7.0,D G KHAN,11.0,5.0,3.0,8.0,2.0,26.0,1.0,PUNJAB,10.0,15.0,1.0,16.0,DE EXCLUDED AREA,25.0,
107162627.0,1071626273.0,3.0,11.0,4.0,2012.0,7.0,D G KHAN,11.0,27.0,3.0,8.0,2.0,27.0,1.0,PUNJAB,10.0,14.0,1.0,16.0,DE EXCLUDED AREA,26.0,
107172728.0,1071727284.0,4.0,18.0,3.0,2012.0,7.0,D G KHAN,14.0,50.0,3.0,3.0,2.0,28.0,1.0,PUNJAB,13.0,55.0,1.0,17.0,TAUNSA,27.0,
