CID,P_Name,P_ID,D_Name,D_ID,T_Name,T_ID,UC_Name,UC_ID,DOI_d,DOI_m,DOI_y,Language 1,Language 2,Language 3,M_ID,Survey_Round,Community,FID,StartTime_hrs,StartTime_mins,EndTime_hrs,EndTime_mins
101010101,PUNJAB,1,KASUR,1,CHUNIAN,1,,1,21,3,2012,1.0,,,1.0,1.0,1.0,1010101011.0,10.0,35.0,11.0,10.0
101010202,PUNJAB,1,KASUR,1,CHUNIAN,1,,2,24,3,2012,1.0,2.0,,2.0,1.0,2.0,1010102022.0,10.0,8.0,11.0,15.0
101010203,PUNJAB,1,KASUR,1,CHUNIAN,1,,2,2,4,2012,1.0,2.0,,3.0,1.0,3.0,1010102033.0,18.0,10.0,18.0,55.0
101020304,PUNJAB,1,KASUR,1,PATTOKI,2,,3,6,4,2012,1.0,2.0,,4.0,1.0,4.0,1010203044.0,9.0,55.0,11.0,25.0
102030405,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,,4,20,3,2012,1.0,3.0,7.0,5.0,1.0,1.0,1020304051.0,16.0,10.0,17.0,40.0
102030506,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,,5,26,3,2012,3.0,1.0,,6.0,1.0,2.0,1020305062.0,12.0,17.0,13.0,30.0
102030607,PUNJAB,1,BHAKKAR,2,BHAKKAR,3,,6,8,4,2012,3.0,1.0,7.0,7.0,1.0,3.0,1020306073.0,16.0,29.0,17.0,27.0
102040708,PUNJAB,1,BHAKKAR,2,DARYA KHAN,4,,7,4,4,2012,3.0,2.0,,8.0,1.0,4.0,1020407084.0,14.0,23.0,15.0,40.0
103050809,PUNJAB,1,KHANEWAL,3,KHANEWAL,5,,8,29,3,2012,1.0,3.0,9.0,9.0,1.0,1.0,1030508091.0,9.0,34.0,10.0,14.0
103060910,PUNJAB,1,KHANEWAL,3,MIAN CHANNU,6,,9,16,4,2012,1.0,9.0,2.0,10.0,1.0,2.0,1030609102.0,10.0,15.0,11.0,30.0
103061011,PUNJAB,1,KHANEWAL,3,MIAN CHANNU,6,,10,22,3,2012,1.0,6.0,9.0,11.0,1.0,3.0,1030610113.0,14.0,20.0,17.0,10.0
103071112,PUNJAB,1,KHANEWAL,3,JAHANIAN,7,,11,9,4,2012,7.0,1.0,3.0,12.0,1.0,4.0,1030711124.0,6.0,30.0,7.0,0.0
104081213,PUNJAB,1,ATTOCK,4,ATTOCK,8,,12,27,3,2012,1.0,4.0,7.0,13.0,1.0,1.0,1040812131.0,11.0,12.0,13.0,20.0
104081314,PUNJAB,1,ATTOCK,4,ATTOCK,8,,13,22,3,2012,1.0,2.0,7.0,14.0,1.0,2.0,1040813142.0,8.0,40.0,9.0,35.0
104081415,PUNJAB,1,ATTOCK,4,ATTOCK,8,,14,14,3,2012,5.0,1.0,7.0,15.0,1.0,3.0,1040814153.0,10.0,30.0,11.0,45.0
104091516,PUNJAB,1,ATTOCK,4,FATEH JANH,9,,15,17,3,2012,1.0,5.0,2.0,16.0,1.0,4.0,1040915164.0,11.0,40.0,12.0,50.0
105101617,PUNJAB,1,VEHARI,5,MAILSI,10,,16,18,3,2012,3.0,1.0,2.0,17.0,1.0,1.0,1051016171.0,16.0,20.0,16.0,55.0
105101718,PUNJAB,1,VEHARI,5,MAILSI,10,,17,30,3,2012,3.0,,,18.0,1.0,2.0,1051017182.0,11.0,30.0,13.0,0.0
105111819,PUNJAB,1,VEHARI,5,VEHARI,11,,18,4,4,2012,1.0,,,19.0,1.0,3.0,1051118193.0,11.0,10.0,12.0,25.0
105121920,PUNJAB,1,VEHARI,5,BUREWALA,12,,19,8,4,2012,1.0,2.0,,20.0,1.0,4.0,1051219204.0,15.0,10.0,15.0,55.0
106132021,PUNJAB,1,JHANG,6,SHORKOT,13,,20,26,3,2012,1.0,2.0,,21.0,1.0,1.0,1061320211.0,13.0,10.0,13.0,45.0
106132122,PUNJAB,1,JHANG,6,SHORKOT,13,,21,2,4,2012,1.0,2.0,,22.0,1.0,2.0,1061321222.0,11.0,0.0,11.0,45.0
106142223,PUNJAB,1,JHANG,6,CHINIOT,14,,22,15,3,2012,1.0,2.0,,23.0,1.0,3.0,1061422233.0,12.0,36.0,13.0,55.0
106142324,PUNJAB,1,JHANG,6,CHINIOT,14,,23,21,3,2012,1.0,2.0,,24.0,1.0,4.0,1061423244.0,9.0,40.0,11.0,12.0
107152425,PUNJAB,1,D G KHAN,7,D G KHAN,15,,24,2,4,2012,3.0,8.0,2.0,25.0,1.0,1.0,1071524251.0,10.0,57.0,11.0,43.0
107162526,PUNJAB,1,D G KHAN,7,DE EXCLUDED AREA,16,,25,16,4,2012,3.0,8.0,2.0,26.0,1.0,2.0,1071625262.0,10.0,15.0,11.0,5.0
107162627,PUNJAB,1,D G KHAN,7,DE EXCLUDED AREA,16,,26,11,4,2012,3.0,8.0,2.0,27.0,1.0,3.0,1071626273.0,10.0,14.0,11.0,27.0
107172728,PUNJAB,1,D G KHAN,7,TAUNSA,17,,27,18,3,2012,3.0,3.0,2.0,28.0,1.0,4.0,1071727284.0,13.0,55.0,14.0,50.0
108182829,PUNJAB,1,BAHAWAL NAGAR,8,FORT ABBAS,18,,28,30,3,2012,1.0,2.0,,29.0,1.0,1.0,1081828291.0,11.0,10.0,12.0,15.0
108192930,PUNJAB,1,BAHAWAL NAGAR,8,BAHAWAL NAGAR,19,,29,15,3,2012,1.0,,,30.0,1.0,2.0,1081929302.0,10.0,10.0,11.0,35.0
108203031,PUNJAB,1,BAHAWAL NAGAR,8,CHISHTIAN,20,,30,3,4,2012,1.0,2.0,,31.0,1.0,3.0,1082030313.0,11.0,44.0,12.0,31.0
108213132,PUNJAB,1,BAHAWAL NAGAR,8,MINCHIN ABAD,21,,31,25,3,2012,1.0,,,32.0,1.0,4.0,1082131324.0,16.0,0.0,16.0,50.0
