CID,s1_pid,s1_q1,s1_q2,s1_q4,s1_q5,s1_q6,s1_q7
215395758,1,38,1,22.0,14,38,4
213324952,1,39,1,20.0,8,39,6
102030405,1,66,1,35.0,8,45,6
105111819,1,55,1,25.0,5,37,1
105121920,1,62,1,25.0,13,62,4
107162526,1,26,1,7.0,13,26,3
104081415,1,55,1,28.0,10,55,4
104091516,1,47,1,20.0,13,47,1
101010101,1,25,1,16.0,14,-44,3
217446566,1,47,1,26.0,13,50,4
318466970,1,44,1,14.0,14,44,4
318467172,1,69,1,40.0,8,69,1
217456768,1,28,1,14.0,10,50,6
112314748,1,34,1,14.0,14,34,4
213324950,1,27,1,18.0,23,27,6
213324849,1,41,1,20.0,10,41,1
112304546,1,70,1,22.0,10,60,1
217446465,1,64,1,40.0,4,64,1
214345253,1,51,1,12.0,12,51,1
215395859,1,60,1,35.0,8,60,1
215405960,1,57,1,4.0,5,15,1
318466869,1,35,1,35.0,12,35,1
214365455,1,59,1,10.0,0,40,1
217446667,1,28,1,10.0,0,50,6
104081213,1,36,1,6.0,10,36,3
101020304,1,37,1,35.0,10,70,1
104081314,1,54,1,40.0,8,54,3
102030607,1,21,1,6.0,8,21,1
102040708,1,31,1,10.0,6,31,6
102030506,1,55,1,22.0,8,55,1
106132021,1,61,1,40.0,12,61,1
112304647,1,23,1,3.0,10,23,4
103050809,1,63,1,14.0,10,63,1
105101718,1,47,1,25.0,0,47,1
110243839,1,41,1,41.0,0,41,6
110243738,1,22,1,1.0,12,22,6
109233435,1,55,1,30.0,10,55,1
110253940,1,52,1,20.0,7,52,1
216416061,1,49,1,28.0,10,49,1
216416162,1,38,1,5.0,12,38,1
216426263,1,50,1,27.0,14,50,4
214375556,1,52,1,20.0,23,45,6
318467071,1,35,1,12.0,12,35,3
319477273,1,48,1,10.0,5,48,3
107152425,1,29,1,11.0,10,29,1
319487476,1,56,1,20.0,16,56,3
108203031,1,55,1,15.0,10,55,1
108213132,1,46,1,5.0,10,46,1
109223233,1,30,1,10.0,10,30,6
109233536,1,30,1,3.0,14,31,2
111274142,1,41,1,10.0,10,41,1
111274243,1,64,1,4.0,10,64,1
106132122,1,33,1,20.0,8,33,1
319477274,1,46,1,20.0,14,25,4
106142223,1,45,1,3.0,12,45,3
215385657,1,33,1,15.0,14,33,1
111264041,1,50,1,4.0,10,50,4
103060910,1,80,1,41.0,13,80,1
103071112,1,50,1,20.0,4,50,1
213335051,1,50,1,25.0,12,50,2
112294445,1,22,1,8.0,10,22,1
101010203,1,47,1,25.0,5,47,1
103061011,1,75,1,20.0,8,32,1
101010202,1,28,1,4.0,13,-44,1
110243637,1,51,1,32.0,4,51,6
109223334,1,55,1,25.0,10,55,6
319477375,1,51,1,31.0,13,51,4
108192930,1,50,1,9.0,5,40,1
108182829,1,30,1,1.0,8,30,1
106142324,1,55,1,12.0,10,55,1
111284344,1,45,1,20.0,12,45,1
105101617,1,63,1,29.0,5,55,1
216436364,1,35,1,20.0,10,35,1
