CID,s1_pid,s1_q1,s1_q2,s1_q4,s1_q5,s1_q6,s1_q7
101010101.0,1.0,25.0,1.0,16.0,14.0,-44.0,3.0
101010202.0,1.0,28.0,1.0,4.0,13.0,-44.0,1.0
101010203.0,1.0,47.0,1.0,25.0,5.0,47.0,1.0
101020304.0,1.0,37.0,1.0,35.0,10.0,70.0,1.0
102030405.0,1.0,66.0,1.0,35.0,8.0,45.0,6.0
102030506.0,1.0,55.0,1.0,22.0,8.0,55.0,1.0
102030607.0,1.0,21.0,1.0,6.0,8.0,21.0,1.0
102040708.0,1.0,31.0,1.0,10.0,6.0,31.0,6.0
103050809.0,1.0,63.0,1.0,14.0,10.0,63.0,1.0
103060910.0,1.0,80.0,1.0,41.0,13.0,80.0,1.0
103061011.0,1.0,75.0,1.0,20.0,8.0,32.0,1.0
103071112.0,1.0,50.0,1.0,20.0,4.0,50.0,1.0
104081213.0,1.0,36.0,1.0,6.0,10.0,36.0,3.0
104081314.0,1.0,54.0,1.0,40.0,8.0,54.0,3.0
104081415.0,1.0,55.0,1.0,28.0,10.0,55.0,4.0
104091516.0,1.0,47.0,1.0,20.0,13.0,47.0,1.0
105101617.0,1.0,63.0,1.0,29.0,5.0,55.0,1.0
105101718.0,1.0,47.0,1.0,25.0,0.0,47.0,1.0
105111819.0,1.0,55.0,1.0,25.0,5.0,37.0,1.0
105121920.0,1.0,62.0,1.0,25.0,13.0,62.0,4.0
106132021.0,1.0,61.0,1.0,40.0,12.0,61.0,1.0
106132122.0,1.0,33.0,1.0,20.0,8.0,33.0,1.0
106142223.0,1.0,45.0,1.0,3.0,12.0,45.0,3.0
106142324.0,1.0,55.0,1.0,12.0,10.0,55.0,1.0
107152425.0,1.0,29.0,1.0,11.0,10.0,29.0,1.0
107162526.0,1.0,26.0,1.0,7.0,13.0,26.0,3.0
108182829.0,1.0,30.0,1.0,1.0,8.0,30.0,1.0
108192930.0,1.0,50.0,1.0,9.0,5.0,40.0,1.0
108203031.0,1.0,55.0,1.0,15.0,10.0,55.0,1.0
108213132.0,1.0,46.0,1.0,5.0,10.0,46.0,1.0
109223233.0,1.0,30.0,1.0,10.0,10.0,30.0,6.0
109223334.0,1.0,55.0,1.0,25.0,10.0,55.0,6.0
109233435.0,1.0,55.0,1.0,30.0,10.0,55.0,1.0
109233536.0,1.0,30.0,1.0,3.0,14.0,31.0,2.0
110243637.0,1.0,51.0,1.0,32.0,4.0,51.0,6.0
110243738.0,1.0,22.0,1.0,1.0,12.0,22.0,6.0
110243839.0,1.0,41.0,1.0,41.0,0.0,41.0,6.0
110253940.0,1.0,52.0,1.0,20.0,7.0,52.0,1.0
111264041.0,1.0,50.0,1.0,4.0,10.0,50.0,4.0
111274142.0,1.0,41.0,1.0,10.0,10.0,41.0,1.0
111274243.0,1.0,64.0,1.0,4.0,10.0,64.0,1.0
111284344.0,1.0,45.0,1.0,20.0,12.0,45.0,1.0
112294445.0,1.0,22.0,1.0,8.0,10.0,22.0,1.0
112304546.0,1.0,70.0,1.0,22.0,10.0,60.0,1.0
112304647.0,1.0,23.0,1.0,3.0,10.0,23.0,4.0
112314748.0,1.0,34.0,1.0,14.0,14.0,34.0,4.0
213324849.0,1.0,41.0,1.0,20.0,10.0,41.0,1.0
213324950.0,1.0,27.0,1.0,18.0,23.0,27.0,6.0
213324952.0,1.0,39.0,1.0,20.0,8.0,39.0,6.0
213335051.0,1.0,50.0,1.0,25.0,12.0,50.0,2.0
214345253.0,1.0,51.0,1.0,12.0,12.0,51.0,1.0
214365455.0,1.0,59.0,1.0,10.0,0.0,40.0,1.0
214375556.0,1.0,52.0,1.0,20.0,23.0,45.0,6.0
215385657.0,1.0,33.0,1.0,15.0,14.0,33.0,1.0
215395758.0,1.0,38.0,1.0,22.0,14.0,38.0,4.0
215395859.0,1.0,60.0,1.0,35.0,8.0,60.0,1.0
215405960.0,1.0,57.0,1.0,4.0,5.0,15.0,1.0
216416061.0,1.0,49.0,1.0,28.0,10.0,49.0,1.0
216416162.0,1.0,38.0,1.0,5.0,12.0,38.0,1.0
216426263.0,1.0,50.0,1.0,27.0,14.0,50.0,4.0
216436364.0,1.0,35.0,1.0,20.0,10.0,35.0,1.0
217446465.0,1.0,64.0,1.0,40.0,4.0,64.0,1.0
217446566.0,1.0,47.0,1.0,26.0,13.0,50.0,4.0
217446667.0,1.0,28.0,1.0,10.0,0.0,50.0,6.0
217456768.0,1.0,28.0,1.0,14.0,10.0,50.0,6.0
318466869.0,1.0,35.0,1.0,35.0,12.0,35.0,1.0
318466970.0,1.0,44.0,1.0,14.0,14.0,44.0,4.0
318467071.0,1.0,35.0,1.0,12.0,12.0,35.0,3.0
318467172.0,1.0,69.0,1.0,40.0,8.0,69.0,1.0
319477273.0,1.0,48.0,1.0,10.0,5.0,48.0,3.0
319477274.0,1.0,46.0,1.0,20.0,14.0,25.0,4.0
319477375.0,1.0,51.0,1.0,31.0,13.0,51.0,4.0
319487476.0,1.0,56.0,1.0,20.0,16.0,56.0,3.0
