Survey_Round,CID,Community,CCI_NoHH,CCI_NoHH_5y,CCI_TP,CCI_TP_5y,CCI_RSI,CCI_RSI_FIntro,CCI_RSE,CCI_RSE_FIntro,CCI_NCMR,CCI_NC_Name,CCI_NC_DistKM,CCI_MoT,CCI_MoT_5y,CCI_MoT_NCTime,CCI_PT_VtNC,CCI_PTVtNC_5y,CCI_PTVtNC_CostRs,CCI_PTVtNC_CPPR_5y,CCI_HHMark,CCI_CC_DistKM,CCI_CC_Name,CCI_CC_TimeMins,CCI_CC_TimeMins_5y,CCI_PTVtCC,CCI_PTVtCC_5y,CCI_PTVtCC_CostRs,CCI_PTVtCC_CostRs_5y,CCI_PO_DistKM,CCI_PO_DistKM_5y,CCI_RS,CCI_RS_5y,CCI_VElec,CCI_VElec_5y,CCI_VElec_FIntro,CCI_NBEC,CCI_NBEC_5y,CCI_UnoffFees,CCI_UnoffFees_Cost,CCI_HHGas,CCI_HHGas_5y,CCI_HHGas_FIntro,CCI_HHSGas,CCI_HHSGas_5y,CCI_HHSGas_FIntro,CCI_Tele,CCI_Tele_5y,CCI_NBtele,CCI_Nbtele_5y,CCI_Cell,CCI_Cell_FIntro,CCI_Sew,CCI_Sew_FIntro,CCI_DS,CCI_DS_FIntro,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,CCI_HH_0Acer,CCI_HH_1Acer,CCI_HH_2Acer,CCI_HH_5Acer,CCI_HH_mt5Acer
1,101010101,1,200.0,150.0,1000.0,600.0,5.0,2008.0,2.0,1982.0,1.0,KANGAN PUR,5.0,4.0,2.0,20.0,1.0,1.0,20.0,10.0,1.0,5.0,KANGAN PUR,20.0,30.0,1.0,1.0,20.0,10.0,5.0,5.0,1.0,1.0,1.0,1.0,2002.0,45.0,45.0,1.0,10.0,0.0,0.0,,0.0,0.0,,1.0,2004.0,60.0,60.0,1.0,2008.0,1.0,2008.0,0.0,,1010101011.0,1,1,1.0,1.0,1,,,,,
1,101010202,2,40.0,50.0,250.0,350.0,1.0,1979.0,2.0,2002.0,1.0,KANGAN PUR,5.0,4.0,4.0,20.0,1.0,1.0,20.0,10.0,3.0,5.0,KANGAN PUR,20.0,20.0,1.0,1.0,20.0,10.0,5.0,5.0,1.0,1.0,0.0,0.0,,,,,,1.0,0.0,2009.0,0.0,0.0,,0.0,,,,1.0,2006.0,0.0,,0.0,,1010102022.0,1,1,1.0,2.0,2,,,,,
1,101010203,3,165.0,200.0,1200.0,2000.0,1.0,1979.0,1.0,1979.0,0.0,KANGAN PUR,10.0,4.0,2.0,30.0,1.0,1.0,30.0,10.0,3.0,10.0,KANGAN PUR,30.0,60.0,1.0,1.0,30.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,1988.0,60.0,60.0,1.0,10.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2007.0,0.0,,0.0,,1010102033.0,1,1,1.0,2.0,3,,,,,
1,101020304,4,200.0,150.0,2500.0,1700.0,5.0,1990.0,2.0,1990.0,0.0,PATTOKI,14.0,4.0,4.0,45.0,1.0,1.0,40.0,15.0,3.0,14.0,PATTOKI,45.0,45.0,1.0,1.0,40.0,15.0,14.0,14.0,0.0,0.0,1.0,1.0,1985.0,120.0,120.0,1.0,25.0,1.0,1.0,2005.0,0.0,0.0,,1.0,1995.0,6.0,6.0,1.0,2002.0,1.0,1992.0,0.0,,1010203044.0,1,1,2.0,3.0,4,,,,,
1,102030405,1,300.0,250.0,3500.0,2500.0,5.0,1997.0,3.0,1989.0,1.0,ADDA JHAN KHAN,10.0,4.0,4.0,25.0,1.0,1.0,25.0,10.0,1.0,10.0,JHAN KHAN,25.0,25.0,1.0,1.0,25.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1987.0,30.0,15.0,0.0,,1.0,1.0,2004.0,0.0,0.0,,0.0,,,,1.0,2002.0,0.0,,0.0,,1020304051.0,1,2,3.0,4.0,5,,,,,
1,102030506,2,154.0,130.0,1200.0,1000.0,1.0,1979.0,2.0,1986.0,0.0,JHAN KHAN,14.0,8.0,5.0,15.0,0.0,0.0,,,1.0,14.0,JHAN KHAN,15.0,30.0,0.0,0.0,,,1.5,1.5,0.0,0.0,1.0,1.0,1992.0,45.0,30.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,2005.0,0.0,,0.0,,1020305062.0,1,2,3.0,5.0,6,,,,,
1,102030607,3,400.0,350.0,2500.0,1800.0,1.0,1979.0,2.0,1985.0,1.0,BHAKKAR,35.0,6.0,6.0,60.0,1.0,1.0,60.0,15.0,1.0,25.0,SRAY MAHAJAR,45.0,45.0,1.0,1.0,40.0,5.0,11.0,11.0,0.0,0.0,1.0,1.0,2006.0,12.0,12.0,0.0,,1.0,1.0,2005.0,0.0,0.0,,0.0,,,,1.0,2003.0,0.0,,0.0,,1020306073.0,1,2,3.0,6.0,7,,,,,
1,102040708,4,400.0,300.0,5000.0,4000.0,1.0,1979.0,2.0,1993.0,1.0,DOLY WALA,10.0,8.0,8.0,15.0,1.0,1.0,25.0,10.0,3.0,10.0,DOLY WALA,10.0,10.0,1.0,1.0,25.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1979.0,30.0,5.0,0.0,,1.0,1.0,1979.0,0.0,0.0,,0.0,,,,1.0,2008.0,1.0,1979.0,0.0,,1020407084.0,1,2,4.0,7.0,8,,,,,
1,103050809,1,150.0,150.0,1200.0,1000.0,2.0,1990.0,2.0,1985.0,1.0,KHANEWAL,10.0,4.0,4.0,10.0,1.0,1.0,15.0,10.0,3.0,15.0,MARKET COMMITTEE,20.0,25.0,1.0,1.0,25.0,20.0,5.0,5.0,0.0,0.0,1.0,1.0,1990.0,35.0,20.0,1.0,30.0,1.0,1.0,2000.0,0.0,0.0,,0.0,,,,1.0,2000.0,0.0,,0.0,,1030508091.0,1,3,5.0,8.0,9,,,,,
1,103060910,2,300.0,275.0,3000.0,2500.0,5.0,2000.0,3.0,1979.0,1.0,MIAN CHANNU,20.0,5.0,5.0,20.0,1.0,1.0,20.0,15.0,2.0,22.0,MARKET COMMITTEE,25.0,35.0,1.0,1.0,25.0,20.0,6.0,6.0,0.0,0.0,1.0,1.0,1988.0,40.0,20.0,1.0,20.0,1.0,1.0,1995.0,0.0,0.0,,0.0,,,,1.0,2000.0,1.0,2000.0,0.0,,1030609102.0,1,3,6.0,9.0,10,,,,,
