CID,FID,CCI_CC_DistKM,CCI_CC_Name,CCI_CC_TimeMins,CCI_CC_TimeMins_5y,CCI_Cell,CCI_Cell_FIntro,CCI_DS,CCI_DS_FIntro,CCI_HHGas,CCI_HHGas_5y,CCI_HHGas_FIntro,CCI_HHMark,CCI_HHSGas,CCI_HHSGas_5y,CCI_HHSGas_FIntro,CCI_HH_0Acer,CCI_HH_1Acer,CCI_HH_2Acer,CCI_HH_5Acer,CCI_HH_mt5Acer,CCI_MoT,CCI_MoT_5y,CCI_MoT_NCTime,CCI_NBEC,CCI_NBEC_5y,CCI_NBtele,CCI_NCMR,CCI_NC_DistKM,CCI_NC_Name,CCI_Nbtele_5y,CCI_NoHH,CCI_NoHH_5y,CCI_PO_DistKM,CCI_PO_DistKM_5y,CCI_PTVtCC,CCI_PTVtCC_5y,CCI_PTVtCC_CostRs,CCI_PTVtCC_CostRs_5y,CCI_PTVtNC_5y,CCI_PTVtNC_CPPR_5y,CCI_PTVtNC_CostRs,CCI_PT_VtNC,CCI_RS,CCI_RSE,CCI_RSE_FIntro,CCI_RSI,CCI_RSI_FIntro,CCI_RS_5y,CCI_Sew,CCI_Sew_FIntro,CCI_TP,CCI_TP_5y,CCI_Tele,CCI_Tele_5y,CCI_UnoffFees,CCI_UnoffFees_Cost,CCI_VElec,CCI_VElec_5y,CCI_VElec_FIntro,Community,D_ID,M_ID,P_ID,Survey_Round,T_ID,UC_ID
101010101.0,1010101011.0,5.0,KANGAN PUR,20.0,30.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,170.0,5.0,10.0,5.0,10.0,4.0,2.0,20.0,45.0,45.0,60.0,1.0,5.0,KANGAN PUR,60.0,200.0,150.0,5.0,5.0,1.0,1.0,20.0,10.0,1.0,10.0,20.0,1.0,1.0,2.0,1982.0,5.0,2008.0,1.0,1.0,2008.0,1000.0,600.0,1.0,2004.0,1.0,10.0,1.0,1.0,2002.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
101010202.0,1010102022.0,5.0,KANGAN PUR,20.0,20.0,1.0,2006.0,0.0,0.0,1.0,0.0,2009.0,3.0,0.0,0.0,0.0,25.0,5.0,0.0,3.0,7.0,4.0,4.0,20.0,0.0,0.0,0.0,1.0,5.0,KANGAN PUR,0.0,40.0,50.0,5.0,5.0,1.0,1.0,20.0,10.0,1.0,10.0,20.0,1.0,1.0,2.0,2002.0,1.0,1979.0,1.0,0.0,0.0,250.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0
101010203.0,1010102033.0,10.0,KANGAN PUR,30.0,60.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,135.0,0.0,20.0,5.0,5.0,4.0,2.0,30.0,60.0,60.0,0.0,0.0,10.0,KANGAN PUR,0.0,165.0,200.0,1.0,1.0,1.0,1.0,30.0,40.0,1.0,10.0,30.0,1.0,0.0,1.0,1979.0,1.0,1979.0,0.0,0.0,0.0,1200.0,2000.0,0.0,0.0,1.0,10.0,1.0,1.0,1988.0,6.0,2.0,6.0,2.0,2.0,1.0,2.0
101020304.0,1010203044.0,14.0,PATTOKI,45.0,45.0,1.0,2002.0,0.0,0.0,1.0,1.0,2005.0,3.0,0.0,0.0,0.0,71.0,30.0,45.0,50.0,4.0,4.0,4.0,45.0,120.0,120.0,6.0,0.0,14.0,PATTOKI,6.0,200.0,150.0,14.0,14.0,1.0,1.0,40.0,15.0,1.0,15.0,40.0,1.0,0.0,2.0,1990.0,5.0,1990.0,0.0,1.0,1992.0,2500.0,1700.0,1.0,1995.0,1.0,25.0,1.0,1.0,1985.0,8.0,2.0,8.0,2.0,2.0,2.0,3.0
102030405.0,1020304051.0,10.0,JHAN KHAN,25.0,25.0,1.0,2002.0,0.0,0.0,1.0,1.0,2004.0,1.0,0.0,0.0,0.0,140.0,40.0,20.0,30.0,70.0,4.0,4.0,25.0,30.0,15.0,0.0,1.0,10.0,ADDA JHAN KHAN,0.0,300.0,250.0,0.0,0.0,1.0,1.0,25.0,10.0,1.0,10.0,25.0,1.0,0.0,3.0,1989.0,5.0,1997.0,0.0,0.0,0.0,3500.0,2500.0,0.0,0.0,0.0,0.0,1.0,1.0,1987.0,2.0,4.0,10.0,2.0,2.0,3.0,4.0
102030506.0,1020305062.0,14.0,JHAN KHAN,15.0,30.0,1.0,2005.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,40.0,20.0,20.0,6.0,8.0,5.0,15.0,45.0,30.0,0.0,0.0,14.0,JHAN KHAN,0.0,154.0,130.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1986.0,1.0,1979.0,0.0,0.0,0.0,1200.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1992.0,4.0,4.0,12.0,2.0,2.0,3.0,5.0
102030607.0,1020306073.0,25.0,SRAY MAHAJAR,45.0,45.0,1.0,2003.0,0.0,0.0,1.0,1.0,2005.0,1.0,0.0,0.0,0.0,235.0,50.0,35.0,30.0,50.0,6.0,6.0,60.0,12.0,12.0,0.0,1.0,35.0,BHAKKAR,0.0,400.0,350.0,11.0,11.0,1.0,1.0,40.0,5.0,1.0,15.0,60.0,1.0,0.0,2.0,1985.0,1.0,1979.0,0.0,0.0,0.0,2500.0,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,6.0,4.0,14.0,2.0,2.0,3.0,6.0
102040708.0,1020407084.0,10.0,DOLY WALA,10.0,10.0,1.0,2008.0,0.0,0.0,1.0,1.0,1979.0,3.0,0.0,0.0,0.0,155.0,100.0,25.0,60.0,60.0,8.0,8.0,15.0,30.0,5.0,0.0,1.0,10.0,DOLY WALA,0.0,400.0,300.0,10.0,0.0,1.0,1.0,25.0,10.0,1.0,10.0,25.0,1.0,0.0,2.0,1993.0,1.0,1979.0,0.0,1.0,1979.0,5000.0,4000.0,0.0,0.0,0.0,0.0,1.0,1.0,1979.0,8.0,4.0,16.0,2.0,2.0,4.0,7.0
103050809.0,1030508091.0,15.0,MARKET COMMITTEE,20.0,25.0,1.0,2000.0,0.0,0.0,1.0,1.0,2000.0,3.0,0.0,0.0,0.0,80.0,30.0,25.0,10.0,5.0,4.0,4.0,10.0,35.0,20.0,0.0,1.0,10.0,KHANEWAL,0.0,150.0,150.0,5.0,5.0,1.0,1.0,25.0,20.0,1.0,10.0,15.0,1.0,0.0,2.0,1985.0,2.0,1990.0,0.0,0.0,0.0,1200.0,1000.0,0.0,0.0,1.0,30.0,1.0,1.0,1990.0,2.0,6.0,18.0,2.0,2.0,5.0,8.0
103060910.0,1030609102.0,22.0,MARKET COMMITTEE,25.0,35.0,1.0,2000.0,0.0,0.0,1.0,1.0,1995.0,2.0,0.0,0.0,0.0,150.0,40.0,25.0,30.0,55.0,5.0,5.0,20.0,40.0,20.0,0.0,1.0,20.0,MIAN CHANNU,0.0,300.0,275.0,6.0,6.0,1.0,1.0,25.0,20.0,1.0,15.0,20.0,1.0,0.0,3.0,1979.0,5.0,2000.0,0.0,1.0,2000.0,3000.0,2500.0,0.0,0.0,1.0,20.0,1.0,1.0,1988.0,4.0,6.0,20.0,2.0,2.0,6.0,9.0
