Survey_Round,CID,Community,Src_ID,Src_CV,Src_CV_y,Src_Near_DistKM,Src_HHLAI,Src_HHNFI,Src_Lease_5y,FID,P_ID,D_ID,T_ID,UC_ID,M_ID
1,101010101,1,1,0,,20.0,1.0,0.0,3.0,1010101011.0,1,1,1,1,1
1,101010101,1,2,0,,5.0,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010101,1,3,0,,5.0,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010101,1,4,0,,5.0,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010101,1,5,0,,5.0,1.0,1.0,3.0,1010101011.0,1,1,1,1,1
1,101010101,1,6,1,1999.0,,1.0,1.0,2.0,1010101011.0,1,1,1,1,1
1,101010101,1,7,1,1999.0,,1.0,1.0,2.0,1010101011.0,1,1,1,1,1
1,101010101,1,8,1,1999.0,,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010101,1,9,0,,28.0,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010101,1,10,1,1999.0,,0.0,0.0,,1010101011.0,1,1,1,1,1
1,101010202,2,1,0,,25.0,1.0,0.0,2.0,1010102022.0,1,1,1,2,2
1,101010202,2,2,0,,5.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,3,0,,25.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,4,0,,40.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,5,0,,5.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,6,1,,,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,7,0,,25.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,8,1,,,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,9,0,,10.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010202,2,10,0,,5.0,0.0,0.0,,1010102022.0,1,1,1,2,2
1,101010203,3,1,0,,20.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,2,0,,10.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,3,0,,10.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,4,0,,30.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,5,0,,10.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,6,1,,,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,7,0,,10.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,8,1,,,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,9,0,,30.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101010203,3,10,0,,20.0,0.0,0.0,,1010102033.0,1,1,1,2,3
1,101020304,4,1,0,,14.0,1.0,0.0,2.0,1010203044.0,1,1,2,3,4
1,101020304,4,2,0,,14.0,0.0,1.0,2.0,1010203044.0,1,1,2,3,4
1,101020304,4,3,0,,14.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,4,0,,85.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,5,0,,14.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,6,1,1999.0,,1.0,1.0,2.0,1010203044.0,1,1,2,3,4
1,101020304,4,7,0,,14.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,8,1,1999.0,,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,9,0,,14.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,101020304,4,10,0,,14.0,0.0,0.0,,1010203044.0,1,1,2,3,4
1,102030405,1,1,0,,22.0,1.0,0.0,2.0,1020304051.0,1,2,3,4,5
1,102030405,1,2,0,,10.0,1.0,1.0,3.0,1020304051.0,1,2,3,4,5
1,102030405,1,3,0,,10.0,1.0,1.0,2.0,1020304051.0,1,2,3,4,5
1,102030405,1,4,0,,22.0,0.0,0.0,,1020304051.0,1,2,3,4,5
1,102030405,1,5,0,,0.0,0.0,0.0,,1020304051.0,1,2,3,4,5
1,102030405,1,6,0,,10.0,0.0,0.0,,1020304051.0,1,2,3,4,5
1,102030405,1,7,0,,10.0,0.0,0.0,,1020304051.0,1,2,3,4,5
1,102030405,1,8,1,1999.0,,1.0,1.0,3.0,1020304051.0,1,2,3,4,5
1,102030405,1,9,0,,25.0,0.0,0.0,,1020304051.0,1,2,3,4,5
1,102030405,1,10,1,1999.0,,1.0,1.0,3.0,1020304051.0,1,2,3,4,5
1,102030506,2,1,0,,30.0,1.0,0.0,3.0,1020305062.0,1,2,3,5,6
1,102030506,2,2,0,,15.0,1.0,1.0,3.0,1020305062.0,1,2,3,5,6
1,102030506,2,3,0,,15.0,0.0,0.0,,1020305062.0,1,2,3,5,6
1,102030506,2,4,0,,15.0,1.0,1.0,3.0,1020305062.0,1,2,3,5,6
1,102030506,2,5,0,,15.0,0.0,0.0,,1020305062.0,1,2,3,5,6
1,102030506,2,6,0,,5.0,0.0,0.0,,1020305062.0,1,2,3,5,6
1,102030506,2,7,0,,7.0,0.0,0.0,,1020305062.0,1,2,3,5,6
