CID,FID,Community,D_ID,M_ID,P_ID,Src_CV,Src_CV_y,Src_HHLAI,Src_HHNFI,Src_ID,Src_Lease_5y,Src_Near_DistKM,Survey_Round,T_ID,UC_ID
101010101.0,1010101011.0,10.0,10.0,10.0,10.0,4.0,7996.0,4.0,3.0,55.0,10.0,68.0,10.0,10.0,10.0
101010202.0,1010102022.0,20.0,10.0,20.0,10.0,2.0,0.0,1.0,0.0,55.0,2.0,140.0,10.0,10.0,20.0
101010203.0,1010102033.0,30.0,10.0,30.0,10.0,2.0,0.0,0.0,0.0,55.0,0.0,140.0,10.0,10.0,20.0
101020304.0,1010203044.0,40.0,10.0,40.0,10.0,2.0,3998.0,2.0,2.0,55.0,6.0,183.0,10.0,20.0,30.0
102030405.0,1020304051.0,10.0,20.0,50.0,10.0,2.0,3998.0,5.0,4.0,55.0,13.0,109.0,10.0,30.0,40.0
102030506.0,1020305062.0,20.0,20.0,60.0,10.0,0.0,0.0,4.0,2.0,55.0,12.0,118.0,10.0,30.0,50.0
102030607.0,1020306073.0,30.0,20.0,70.0,10.0,2.0,3998.0,5.0,3.0,55.0,12.0,225.0,10.0,30.0,60.0
102040708.0,1020407084.0,40.0,20.0,80.0,10.0,1.0,1999.0,1.0,1.0,55.0,5.0,99.0,10.0,40.0,70.0
103050809.0,1030508091.0,10.0,30.0,90.0,10.0,1.0,1999.0,7.0,6.0,55.0,17.0,88.0,10.0,50.0,80.0
103060910.0,1030609102.0,20.0,30.0,100.0,10.0,3.0,5997.0,6.0,3.0,55.0,14.0,118.0,10.0,60.0,90.0
103061011.0,1030610113.0,30.0,30.0,110.0,10.0,1.0,1999.0,7.0,5.0,55.0,17.0,100.0,10.0,60.0,100.0
103071112.0,1030711124.0,40.0,30.0,120.0,10.0,2.0,3998.0,7.0,8.0,55.0,18.0,152.0,10.0,70.0,110.0
104081213.0,1040812131.0,10.0,40.0,130.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,100.0,10.0,80.0,120.0
104081314.0,1040613142.0,20.0,40.0,140.0,10.0,3.0,6000.0,4.0,3.0,55.0,10.0,99.0,10.0,80.0,130.0
104081415.0,1040814153.0,30.0,40.0,150.0,10.0,2.0,3998.0,2.0,2.0,55.0,4.0,158.0,10.0,80.0,140.0
104091516.0,1080915164.0,40.0,40.0,160.0,10.0,6.0,11995.0,7.0,5.0,55.0,9.0,52.0,10.0,90.0,150.0
105101617.0,1051016171.0,10.0,50.0,170.0,10.0,1.0,1999.0,5.0,3.0,55.0,14.0,112.0,10.0,100.0,160.0
105101718.0,1051017182.0,20.0,50.0,180.0,10.0,1.0,0.0,6.0,4.0,55.0,13.0,178.0,10.0,100.0,170.0
105111819.0,1051118193.0,30.0,50.0,190.0,10.0,2.0,2005.0,3.0,0.0,55.0,8.0,167.25,10.0,110.0,180.0
105121920.0,1051219204.0,40.0,50.0,200.0,10.0,3.0,2010.0,2.0,0.0,55.0,4.0,77.25,10.0,120.0,190.0
106132021.0,1061320211.0,10.0,60.0,210.0,10.0,4.0,7996.0,7.0,6.0,55.0,12.0,70.0,10.0,130.0,200.0
106132122.0,1061321222.0,20.0,60.0,220.0,10.0,2.0,3998.0,5.0,5.0,55.0,13.0,94.0,10.0,130.0,210.0
