,Survey_Round,CID,Community,BE_SoNFE,BE_SoNFE_5y,BE_SoNFE_PrmLis,BE_NFE_TimeReg,BE_NFE_TimeReg_5y,BE_NFE_TimePTO,BE_NFE_TimePTO_5y,BE_NFE_Prm_NoA,BE_NFE_PrmNoA_5y,BE_NFE_PTOCost,BE_NFE_PTOCost_5y,BE_NFE_TimeLTO,BE_NFE_TimeLTO_5y,BE_NFE_LisNoA,BE_NFE_LisNoA_5y,BE_AME_Tax,BE_AME_Tax_5y,BE_ASE_Tax,BE_ASE_Tax_5y,BE_ATE_Tax,BE_ATE_Tax_5y,VE_NFE_URP,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,Const_ID,Const_Main,Const_MI,Const_SMI,BO_COC_T,BO_BAAB_T,BO_BAOS_T,BO_COCEst_T,BO_BAABEst_T,BO_BAOSEst_T,BO_COC_LG,BO_BAAB_LG,BO_BAOS_LG,BO_COC_RD,BO_BAAB_RD,BO_BAOS_RD,BO_COC_IOP,BO_BAAB_IOP,BO_BAOS_IOP,BO_COC_CDP,BO_BAAB_CDP,BO_BAOS_CDP,BO_COC_AS,BO_BAAB_AS,BO_BAOS_AS,BO_COC_IOG,BO_BAAB_IOG,BO_BAOS_IOG,BO_COC_IGP,BO_BAAB_IGP,BO_BAOS_IGP,Serv_Name,Serv_EntT,Serv_EntT_FA_y,Serv_Avl_1hrs,Serv_AffEnt,Serv_DemEnt
0,1,101010101,1,50000.0,1.0,0.0,,,,,,,,,,,,,,3.0,,3.0,,3.0,0.0,1010101011.0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,101010202,2,50000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1010102022.0,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,101010203,3,25000.0,1.0,0.0,,,,,,,,,,,,,10.0,3.0,,,,,0.0,1010102033.0,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,101020304,4,40000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0,1010203044.0,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,102030405,1,400000.0,3.0,0.0,,,,,,,,,,,,,16.0,3.0,10.0,3.0,,2.0,0.0,1020304051.0,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,102030506,2,150000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1020305062.0,1,2,3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,102030607,3,70000.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,1020306073.0,1,2,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,102040708,4,60000.0,1.0,0.0,,,,,,,,,,,,,0.0,,10.0,2.0,10.0,2.0,0.0,1020407084.0,1,2,4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,103050809,1,1400000.0,1.0,0.0,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,1030508091.0,1,3,5,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,103060910,2,2000000.0,1.0,0.0,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1030609102.0,1,3,6,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
