CID,FID,Tax_ID,Community,D_ID,M_ID,P_ID,Survey_Round,T_ID,Tax_MoVPaid,Tax_MoVPaid_5y,Tax_Rate,Tax_Rate_5y,UC_ID
101010101.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
101010101.0,1010101011.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
101010101.0,1010101011.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
101010101.0,1010101011.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
101010202.0,1010102022.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010202.0,1010102022.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010202.0,1010102022.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010202.0,1010102022.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010203.0,1010102033.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010203.0,1010102033.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,17.0,12.0,2.0
101010203.0,1010102033.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
101010203.0,1010102033.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0
101020304.0,1010203044.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
101020304.0,1010203044.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,15.0,15.0,3.0
101020304.0,1010203044.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
101020304.0,1010203044.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
102030405.0,1020304051.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,16.0,9.0,4.0
102030405.0,1020304051.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,10.0,7.0,4.0
102030405.0,1020304051.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
102030405.0,1020304051.0,4.0,1.0,2.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
102030506.0,1020305062.0,1.0,2.0,2.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0
102030506.0,1020305062.0,2.0,2.0,2.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0
