Survey_Round,CID,Community,Loc_ID,Loc_IINear_DistKM,Loc_IINear_RC,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,LocF_SalNoPPD,LocF_OwnBNoPPDV,LocF_VRad20KM,LocF_NoVRad20KM,LocF_NoPWork,LocF_NearVKM,LocF_Start_y,LocF_DistVKM,LocF_RC
1,101010101,1.0,1.0,5.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010101,1.0,2.0,60.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010101,1.0,3.0,25.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010101,1.0,4.0,60.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010101,1.0,5.0,5.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010101,1.0,6.0,5.0,1.0,1010101011.0,1,1,1,1,1,,,,,,,,,
1,101010202,2.0,1.0,5.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010202,2.0,2.0,25.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010202,2.0,3.0,40.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010202,2.0,4.0,100.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010202,2.0,5.0,5.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010202,2.0,6.0,5.0,1.0,1010102022.0,1,1,1,2,2,,,,,,,,,
1,101010203,3.0,1.0,10.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101010203,3.0,2.0,50.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101010203,3.0,3.0,30.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101010203,3.0,4.0,50.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101010203,3.0,5.0,10.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101010203,3.0,6.0,10.0,1.0,1010102033.0,1,1,1,2,3,,,,,,,,,
1,101020304,4.0,1.0,14.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,101020304,4.0,2.0,14.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,101020304,4.0,3.0,14.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,101020304,4.0,4.0,85.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,101020304,4.0,5.0,14.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,101020304,4.0,6.0,14.0,1.0,1010203044.0,1,1,2,3,4,,,,,,,,,
1,102030405,1.0,1.0,20.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030405,1.0,2.0,20.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030405,1.0,3.0,20.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030405,1.0,4.0,20.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030405,1.0,5.0,10.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030405,1.0,6.0,15.0,3.0,1020304051.0,1,2,3,4,5,,,,,,,,,
1,102030506,2.0,1.0,30.0,1.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030506,2.0,2.0,15.0,1.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030506,2.0,3.0,30.0,1.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030506,2.0,4.0,30.0,1.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030506,2.0,5.0,15.0,1.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030506,2.0,6.0,12.0,3.0,1020305062.0,1,2,3,5,6,,,,,,,,,
1,102030607,3.0,1.0,25.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102030607,3.0,2.0,25.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102030607,3.0,3.0,35.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102030607,3.0,4.0,35.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102030607,3.0,5.0,28.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102030607,3.0,6.0,35.0,1.0,1020306073.0,1,2,3,6,7,,,,,,,,,
1,102040708,4.0,1.0,10.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,102040708,4.0,2.0,10.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,102040708,4.0,3.0,40.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,102040708,4.0,4.0,60.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,102040708,4.0,5.0,10.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,102040708,4.0,6.0,40.0,1.0,1020407084.0,1,2,4,7,8,,,,,,,,,
1,103050809,1.0,1.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103050809,1.0,2.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103050809,1.0,3.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103050809,1.0,4.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103050809,1.0,5.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103050809,1.0,6.0,10.0,1.0,1030508091.0,1,3,5,8,9,,,,,,,,,
1,103060910,2.0,1.0,20.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103060910,2.0,2.0,20.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103060910,2.0,3.0,20.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103060910,2.0,4.0,35.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103060910,2.0,5.0,8.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103060910,2.0,6.0,8.0,1.0,1030609102.0,1,3,6,9,10,,,,,,,,,
1,103061011,3.0,1.0,13.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103061011,3.0,2.0,13.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103061011,3.0,3.0,13.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103061011,3.0,4.0,52.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103061011,3.0,5.0,8.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103061011,3.0,6.0,13.0,3.0,1030610113.0,1,3,6,10,11,,,,,,,,,
1,103071112,4.0,1.0,22.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,103071112,4.0,2.0,20.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,103071112,4.0,3.0,20.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,103071112,4.0,4.0,55.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,103071112,4.0,5.0,22.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,103071112,4.0,6.0,20.0,1.0,1030711124.0,1,3,7,11,12,,,,,,,,,
1,104081213,1.0,1.0,3.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081213,1.0,2.0,9.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081213,1.0,3.0,7.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081213,1.0,4.0,32.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081213,1.0,5.0,3.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081213,1.0,6.0,33.0,1.0,1040812131.0,1,4,8,12,13,,,,,,,,,
1,104081314,2.0,1.0,13.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081314,2.0,2.0,8.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081314,2.0,3.0,13.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081314,2.0,4.0,13.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081314,2.0,5.0,7.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081314,2.0,6.0,14.0,1.0,1040813142.0,1,4,8,13,14,,,,,,,,,
1,104081415,3.0,1.0,3.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104081415,3.0,2.0,3.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104081415,3.0,3.0,13.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104081415,3.0,4.0,25.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104081415,3.0,5.0,3.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104081415,3.0,6.0,25.0,1.0,1040814153.0,1,4,8,14,15,,,,,,,,,
1,104091516,4.0,1.0,14.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,104091516,4.0,2.0,14.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,104091516,4.0,3.0,14.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,104091516,4.0,4.0,56.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,104091516,4.0,5.0,0.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,104091516,4.0,6.0,1.0,1.0,1040915164.0,1,4,9,15,16,,,,,,,,,
1,105101617,1.0,1.0,10.0,1.0,1051016171.0,1,5,10,16,17,,,,,,,,,
