CID,PID,R_Age,R_Gender,R_PiP_y,R_HEL,R_TiM_y,R_MainIncomeSrc,Survey_Round,Community,FID,P_ID,D_ID,T_ID,M_ID
101010101,1,53,1,14.0,5,53.0,8,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0
101010101,2,75,1,50.0,9,60.0,1,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0
101010101,3,60,1,40.0,23,60.0,3,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0
101010202,1,60,1,40.0,5,60.0,1,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0
101010202,2,40,1,6.0,10,40.0,8,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0
101010202,3,49,1,40.0,5,49.0,1,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0
101010203,1,65,1,40.0,23,65.0,1,1.0,3.0,1010102033.0,1.0,1.0,1.0,3.0
101010203,2,45,1,20.0,5,45.0,3,1.0,3.0,1010102033.0,1.0,1.0,1.0,3.0
101010203,3,72,1,50.0,10,72.0,1,1.0,3.0,1010102033.0,1.0,1.0,1.0,3.0
101020304,1,72,1,50.0,10,25.0,1,1.0,4.0,1010203044.0,1.0,1.0,2.0,4.0
101020304,2,76,1,50.0,10,76.0,1,1.0,4.0,1010203044.0,1.0,1.0,2.0,4.0
101020304,3,45,1,25.0,5,45.0,1,1.0,4.0,1010203044.0,1.0,1.0,2.0,4.0
102030405,1,32,1,12.0,12,32.0,1,1.0,1.0,1020304051.0,1.0,2.0,3.0,5.0
102030405,2,35,1,7.0,13,35.0,4,1.0,1.0,1020304051.0,1.0,2.0,3.0,5.0
102030405,3,37,1,24.0,8,37.0,1,1.0,1.0,1020304051.0,1.0,2.0,3.0,5.0
102030506,1,52,1,20.0,8,52.0,1,1.0,2.0,1020305062.0,1.0,2.0,3.0,6.0
102030506,2,41,1,29.0,5,41.0,1,1.0,2.0,1020305062.0,1.0,2.0,3.0,6.0
102030506,3,35,1,22.0,5,35.0,1,1.0,2.0,1020305062.0,1.0,2.0,3.0,6.0
102030607,1,37,1,10.0,13,37.0,1,1.0,3.0,1020306073.0,1.0,2.0,3.0,7.0
102030607,2,42,1,24.0,10,42.0,1,1.0,3.0,1020306073.0,1.0,2.0,3.0,7.0
102030607,3,50,1,40.0,5,50.0,1,1.0,3.0,1020306073.0,1.0,2.0,3.0,7.0
102040708,1,43,1,27.0,10,43.0,1,1.0,4.0,1020407084.0,1.0,2.0,4.0,8.0
102040708,2,25,1,11.0,1,25.0,1,1.0,4.0,1020407084.0,1.0,2.0,4.0,8.0
102040708,3,44,1,30.0,0,44.0,1,1.0,4.0,1020407084.0,1.0,2.0,4.0,8.0
103050809,1,60,1,18.0,10,60.0,1,1.0,1.0,1030508091.0,1.0,3.0,5.0,9.0
