CID,Community,D_ID,FID,M_ID,PID,P_ID,R_Age,R_Gender,R_HEL,R_MainIncomeSrc,R_PiP_y,R_TiM_y,Survey_Round,T_ID
101010101.0,3.0,3.0,3030303033.0,3.0,13.0,3.0,354.0,7.0,66.0,22.0,173.0,129.0,3.0,3.0
101010202.0,6.0,3.0,3030306066.0,6.0,13.0,3.0,254.0,7.0,47.0,14.0,125.0,155.0,3.0,3.0
101010203.0,9.0,3.0,3030306099.0,9.0,13.0,3.0,330.0,7.0,43.0,9.0,177.0,229.0,3.0,3.0
101020304.0,12.0,3.0,3030609132.0,12.0,13.0,3.0,346.0,7.0,70.0,12.0,170.0,216.0,3.0,6.0
102030405.0,3.0,6.0,3060912153.0,15.0,13.0,3.0,327.0,7.0,75.0,19.0,138.0,264.0,3.0,9.0
102030506.0,6.0,6.0,3060915186.0,18.0,13.0,3.0,307.0,7.0,54.0,7.0,136.0,273.0,3.0,9.0
102030607.0,9.0,6.0,3060918219.0,21.0,13.0,3.0,286.0,7.0,51.0,9.0,155.0,286.0,3.0,9.0
102040708.0,12.0,6.0,3061221252.0,24.0,13.0,3.0,282.0,7.0,48.0,18.0,146.0,282.0,3.0,12.0
103050809.0,3.0,9.0,3091524273.0,27.0,13.0,3.0,333.0,7.0,51.0,7.0,107.0,333.0,3.0,15.0
103060910.0,6.0,9.0,3091827306.0,30.0,13.0,3.0,290.0,7.0,77.0,16.0,96.0,247.0,3.0,18.0
103061011.0,9.0,9.0,3091830339.0,33.0,13.0,3.0,380.0,7.0,77.0,16.0,174.0,265.0,3.0,18.0
103071112.0,12.0,9.0,3092133372.0,36.0,13.0,3.0,317.0,7.0,37.0,13.0,122.0,317.0,3.0,21.0
104081213.0,3.0,12.0,3122436393.0,39.0,13.0,3.0,313.0,7.0,79.0,31.0,78.0,276.0,3.0,24.0
104081314.0,6.0,12.0,3122439426.0,42.0,13.0,3.0,322.0,7.0,73.0,24.0,163.0,322.0,3.0,24.0
104081415.0,9.0,12.0,3122442459.0,45.0,13.0,3.0,313.0,7.0,55.0,17.0,131.0,313.0,3.0,24.0
104091516.0,12.0,12.0,3122745492.0,48.0,13.0,3.0,341.0,7.0,75.0,17.0,134.0,341.0,3.0,27.0
105101617.0,3.0,15.0,3153048513.0,51.0,13.0,3.0,303.0,7.0,57.0,13.0,131.0,288.0,3.0,30.0
105101718.0,6.0,15.0,3153051546.0,54.0,13.0,3.0,310.0,7.0,46.0,7.0,112.0,310.0,3.0,30.0
105111819.0,9.0,15.0,3153354579.0,57.0,13.0,3.0,333.0,7.0,100.0,10.0,183.60000610351562,215.0,3.0,33.0
105121920.0,12.0,15.0,3153657612.0,60.0,13.0,3.0,373.0,7.0,79.0,19.0,175.0,363.0,3.0,36.0
