,CID,G_OMM,G_OMM_Tunit,G_OMM_NoT,G_OMM_NoM,G_OMM_NoF,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,Survey_Round,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_Prgm_ID,G_Prgm_M,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_Prgm_ILoM,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,G_Prgm_Decide,G_PrgmEffC_5y,G_Prgm_2007NoHHB,G_Prgm_Name,G_PrgmEffC_1y,G_PrgmM_StillRun
0,101010101,0.0,,,,,,,,2.0,9.0,5.0,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,-99.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,,,,,,,,,,,,,,
1,101010202,1.0,5.0,7.0,30.0,0.0,6.0,3.0,8.0,2.0,5.0,3.0,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,4.0,-99.0,,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,,,,,,,,,,,,,,
2,101010203,1.0,2.0,7.0,15.0,0.0,8.0,6.0,,2.0,5.0,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,2.0,7.0,6.0,4.0,7.0,8.0,2.0,,,,,,,,,,,,,,
3,101020304,0.0,,,,,,,,9.0,1.0,3.0,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,9.0,3.0,4.0,2.0,6.0,7.0,9.0,8.0,7.0,9.0,6.0,7.0,,,,,,,,,,,,,,
4,102030405,1.0,1.0,6.0,30.0,0.0,6.0,8.0,7.0,2.0,4.0,8.0,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,9.0,2.0,4.0,6.0,6.0,8.0,7.0,6.0,5.0,4.0,,,,,,,,,,,,,,
5,102030506,0.0,,,,,,,,3.0,4.0,5.0,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,10.0,4.0,1.0,2.0,4.0,6.0,6.0,8.0,5.0,2.0,4.0,5.0,,,,,,,,,,,,,,
6,102030607,1.0,5.0,7.0,35.0,0.0,7.0,6.0,8.0,4.0,2.0,3.0,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,5.0,4.0,8.0,4.0,5.0,6.0,8.0,6.0,5.0,5.0,6.0,8.0,,,,,,,,,,,,,,
7,102040708,0.0,,,,,,,,5.0,4.0,2.0,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,5.0,4.0,9.0,5.0,6.0,8.0,6.0,8.0,5.0,5.0,6.0,8.0,,,,,,,,,,,,,,
8,103050809,1.0,1.0,5.0,30.0,0.0,6.0,7.0,8.0,2.0,6.0,5.0,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,4.0,6.0,3.0,4.0,5.0,8.0,5.0,6.0,8.0,4.0,6.0,8.0,,,,,,,,,,,,,,
9,103060910,1.0,1.0,3.0,40.0,0.0,6.0,7.0,2.0,2.0,4.0,5.0,1.0,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,4.0,-99.0,,4.0,5.0,7.0,5.0,6.0,8.0,4.0,5.0,6.0,,,,,,,,,,,,,,
10,103061011,0.0,,,,,,,,2.0,9.0,6.0,1.0,3.0,1030610113.0,1.0,3.0,6.0,10.0,11.0,4.0,6.0,-99.0,5.0,6.0,7.0,4.0,7.0,8.0,4.0,8.0,6.0,,,,,,,,,,,,,,
11,103071112,1.0,4.0,7.0,30.0,0.0,6.0,7.0,8.0,2.0,1.0,5.0,1.0,4.0,1030711124.0,1.0,3.0,7.0,11.0,12.0,5.0,8.0,4.0,4.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,8.0,,,,,,,,,,,,,,
12,104081213,1.0,2.0,3.0,50.0,0.0,6.0,7.0,3.0,5.0,4.0,3.0,1.0,1.0,1040812131.0,1.0,4.0,8.0,12.0,13.0,-99.0,,,9.0,-99.0,,9.0,-99.0,,9.0,4.0,-99.0,,,,,,,,,,,,,,
13,104081314,0.0,,,,,,,,3.0,4.0,7.0,1.0,2.0,1040813142.0,1.0,4.0,8.0,13.0,14.0,-99.0,,,9.0,-99.0,,9.0,-99.0,,9.0,4.0,-99.0,,,,,,,,,,,,,,
14,104081415,0.0,,,,,,,,2.0,4.0,5.0,1.0,3.0,1040814153.0,1.0,4.0,8.0,14.0,15.0,7.0,5.0,-99.0,2.0,6.0,9.0,9.0,-99.0,,4.0,-99.0,,,,,,,,,,,,,,,
15,104091516,1.0,1.0,7.0,20.0,5.0,4.0,3.0,6.0,2.0,4.0,5.0,1.0,4.0,1040915164.0,1.0,4.0,9.0,15.0,16.0,-99.0,,,2.0,1.0,-99.0,2.0,-99.0,,4.0,-99.0,,,,,,,,,,,,,,,
16,105101617,0.0,,,,,,,,4.0,6.0,5.0,1.0,1.0,1051016171.0,1.0,5.0,10.0,16.0,17.0,4.0,-99.0,,2.0,8.0,-99.0,1.0,8.0,-99.0,8.0,-99.0,,,,,,,,,,,,,,,
17,105101718,0.0,,,,,,,,4.0,2.0,6.0,1.0,2.0,1051017182.0,1.0,5.0,10.0,17.0,18.0,4.0,3.0,5.0,4.0,1.0,8.0,4.0,2.0,8.0,5.0,8.0,9.0,,,,,,,,,,,,,,
18,105111819,0.0,,,,,,,,4.0,6.0,7.0,1.0,3.0,1051118193.0,1.0,5.0,11.0,18.0,19.0,5.0,4.0,3.0,1.0,4.0,8.0,2.0,4.0,8.0,8.0,5.0,9.0,,,,,,,,,,,,,,
19,105121920,0.0,,,,,,,,5.0,2.0,6.0,1.0,4.0,1051219204.0,1.0,5.0,12.0,19.0,20.0,4.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,9.0,2.0,4.0,9.0,,,,,,,,,,,,,,
