CID,FID,Community,D_ID,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_OMM,G_OMM_NoF,G_OMM_NoM,G_OMM_NoT,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_OMM_Tunit,G_PrgmEffC_1y,G_PrgmEffC_5y,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_PrgmM_StillRun,G_Prgm_2007NoHHB,G_Prgm_Decide,G_Prgm_ID,G_Prgm_ILoM,G_Prgm_M,G_Prgm_Name,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,M_ID,P_ID,Survey_Round,T_ID,UC_ID,Unnamed: 0
101010101.0,1010101011.0,5.0,5.0,2.0,9.0,5.0,8.0,9.0,-99.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2009.0,15.0,0.0,0.0,1.0,1.0,3.0,1.0,BISP,6.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,6234.0
101010202.0,1010102022.0,8.0,4.0,2.0,5.0,3.0,4.0,-99.0,0.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,1.0,0.0,30.0,7.0,6.0,3.0,8.0,5.0,0.0,0.0,2011.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,Watan Card,6.0,4.0,0.0,8.0,4.0,4.0,4.0,8.0,4238.0
101010203.0,1010102033.0,12.0,4.0,2.0,5.0,0.0,3.0,4.0,5.0,5.0,6.0,2.0,7.0,8.0,2.0,7.0,6.0,4.0,1.0,0.0,15.0,7.0,8.0,6.0,0.0,2.0,0.0,0.0,2011.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,NRSP,6.0,0.0,0.0,12.0,4.0,4.0,4.0,8.0,4244.0
101020304.0,1010203044.0,12.0,3.0,9.0,1.0,3.0,9.0,3.0,4.0,2.0,6.0,7.0,9.0,6.0,7.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRSP,0.0,0.0,0.0,12.0,3.0,3.0,6.0,9.0,2240.0
102030405.0,1020304051.0,4.0,8.0,2.0,4.0,8.0,4.0,3.0,9.0,2.0,4.0,6.0,6.0,5.0,4.0,6.0,8.0,7.0,1.0,0.0,30.0,6.0,6.0,8.0,7.0,1.0,0.0,0.0,4021.0,1.0,0.0,0.0,7.0,5.0,6.0,2.0,"Sindh RSP, Sarhad RSP",10.0,15.0,10.0,20.0,4.0,4.0,12.0,16.0,2473.0
102030506.0,1020305062.0,8.0,8.0,3.0,4.0,5.0,10.0,4.0,1.0,2.0,4.0,6.0,2.0,4.0,5.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4007.0,34.0,0.0,15.0,4.0,4.0,3.0,2.0,"PPAF, AKRSP",13.0,10.0,10.0,24.0,4.0,4.0,12.0,20.0,2479.0
102030607.0,1020306073.0,12.0,8.0,4.0,2.0,3.0,5.0,4.0,8.0,4.0,5.0,6.0,5.0,6.0,8.0,8.0,6.0,5.0,1.0,0.0,35.0,7.0,7.0,6.0,8.0,5.0,0.0,2.0,4004.0,166.0,0.0,50.0,4.0,4.0,5.0,2.0,"Aurat Foundation, Edhi Foundation",11.0,12.0,18.0,28.0,4.0,4.0,12.0,24.0,2485.0
102040708.0,1020407084.0,16.0,8.0,5.0,4.0,2.0,5.0,4.0,9.0,5.0,6.0,8.0,5.0,6.0,8.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4014.0,150.0,1.0,30.0,6.0,4.0,2.0,2.0,"Khushal Pakistan, BISP",13.0,10.0,9.0,32.0,4.0,4.0,16.0,28.0,2491.0
103050809.0,1030508091.0,3.0,9.0,2.0,6.0,5.0,4.0,6.0,3.0,4.0,5.0,8.0,4.0,6.0,8.0,5.0,6.0,8.0,1.0,0.0,30.0,5.0,6.0,7.0,8.0,1.0,0.0,0.0,2009.0,4.0,1.0,0.0,3.0,1.0,4.0,1.0,Watan Card,4.0,6.0,3.0,27.0,3.0,3.0,15.0,24.0,2259.0
103060910.0,1030609102.0,6.0,9.0,2.0,4.0,5.0,4.0,-99.0,0.0,4.0,5.0,7.0,4.0,5.0,6.0,5.0,6.0,8.0,1.0,0.0,40.0,3.0,6.0,7.0,2.0,1.0,0.0,0.0,2010.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,NRSP,4.0,6.0,3.0,30.0,3.0,3.0,18.0,27.0,2262.0
