CID,Community,D_ID,FID,G_GiM_Better1,G_GiM_Better2,G_GiM_Better3,G_GiM_Worse1,G_GiM_Worse2,G_GiM_Worse3,G_IG_HC1,G_IG_HC2,G_IG_HC3,G_IG_SL1,G_IG_SL2,G_IG_SL3,G_IG_WU1,G_IG_WU2,G_IG_WU3,G_OMM,G_OMM_NoF,G_OMM_NoM,G_OMM_NoT,G_OMM_Purp1,G_OMM_Purp2,G_OMM_Purp3,G_OMM_Tunit,G_PrgmEffC_1y,G_PrgmEffC_5y,G_PrgmM_FIntro,G_PrgmM_NoHHB,G_PrgmM_StillRun,G_Prgm_2007NoHHB,G_Prgm_Decide,G_Prgm_ID,G_Prgm_ILoM,G_Prgm_M,G_Prgm_Name,G_Prgm_Purp1,G_Prgm_Purp2,G_Prgm_Purp3,M_ID,P_ID,Survey_Round,T_ID,UC_ID,Unnamed: 0
101010101.0,5.0,5.0,5050505055.0,6.0,20.0,21.0,8.0,9.0,-99.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,1.0,-99.0,45.0,4.0,1.0,2.0,6.0,4.0,4.0,0.0,6027.0,77.0,1.0,0.0,8.0,133.0,6.0,3.0,"BISP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, AURAT FOUNDATION, SINDH RSP, SARHAD RSP, EDHI FOUNDATION, KHUSHAL PAKISTAN, PPAF (AND PROGRAM FUNDED UNDER",10.0,10.0,0.0,5.0,5.0,5.0,5.0,5.0,70876.0
101010202.0,8.0,4.0,4040408088.0,19.0,11.0,6.0,4.0,-99.0,0.0,2.0,7.0,4.0,2.0,7.0,4.0,2.0,7.0,4.0,1.0,0.0,30.0,7.0,6.0,3.0,8.0,5.0,4.0,0.0,4021.0,4.0,1.0,0.0,4.0,133.0,8.0,3.0,"Watan Card, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, NRSP, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, WATAN CARD, SARHAD RSP, SINDH RSP, GBIT, AURAT FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER",8.0,9.0,6.0,8.0,4.0,4.0,4.0,8.0,69309.0
101010203.0,12.0,4.0,4040408132.0,11.0,13.0,6.0,3.0,4.0,5.0,5.0,6.0,2.0,7.0,8.0,2.0,7.0,6.0,4.0,3.0,-99.0,75.0,10.0,18.0,20.0,11.0,11.0,4.0,0.0,10035.0,37.0,3.0,0.0,8.0,158.0,6.0,5.0,"NRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, PRSP, Sindh RSP, Sarhad RSP, PPAF, AKRSP, SARHAD RSP, SINDH RSP, OKHUWAT SOCIETY, KHUSHAL PAKISTAN, EDHI FOUNDATION, GBIT, PPAF (AND PROGRAM FUNDED UNDER",12.0,4.0,0.0,12.0,4.0,4.0,4.0,8.0,72179.0
101020304.0,12.0,3.0,3030609132.0,23.0,6.0,10.0,9.0,3.0,4.0,2.0,6.0,7.0,9.0,6.0,7.0,9.0,8.0,7.0,2.0,-99.0,80.0,4.0,10.0,7.0,12.0,9.0,7.0,0.0,4018.0,20.0,1.0,0.0,1.0,132.0,2.0,2.0,"PRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, Sindh RSP, Sarhad RSP, PPAF, KHUSHAL PAKISTAN, EDHI FOUNDATION, AURAT FOUNDATION, WATAN CARD, SINDH RSP, PPAF (AND PROGRAM FUNDED UNDER",6.0,4.0,1.0,12.0,3.0,3.0,6.0,9.0,68191.0
102030405.0,4.0,8.0,4081216204.0,6.0,18.0,21.0,4.0,3.0,9.0,2.0,4.0,6.0,6.0,5.0,4.0,6.0,8.0,7.0,3.0,-99.0,55.0,14.0,16.0,22.0,14.0,11.0,4.0,0.0,14071.0,96.0,5.0,0.0,16.0,137.0,14.0,7.0,"Sindh RSP, Sarhad RSP, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, PPAF, WATAN CARD, EDHI FOUNDATION, GBIT, SARHAD RSP, KHUSHAL PAKISTAN",24.0,24.0,16.0,20.0,4.0,4.0,12.0,16.0,68853.0
102030506.0,8.0,8.0,4081220248.0,12.0,10.0,19.0,10.0,4.0,1.0,2.0,4.0,6.0,2.0,4.0,5.0,6.0,8.0,5.0,1.0,0.0,20.0,1.0,4.0,8.0,7.0,3.0,5.0,1.0,16055.0,161.0,0.0,15.0,9.0,136.0,11.0,8.0,"PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, SINDH RSP, SARHAD RSP, AURAT FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER, WATAN CARD",35.0,27.0,16.0,24.0,4.0,4.0,12.0,20.0,69288.0
102030607.0,12.0,8.0,4081224292.0,15.0,12.0,8.0,5.0,4.0,8.0,4.0,5.0,6.0,5.0,6.0,8.0,8.0,6.0,5.0,2.0,0.0,85.0,10.0,15.0,6.0,8.0,11.0,0.0,2.0,18070.0,393.0,2.0,50.0,17.0,136.0,13.0,9.0,"Aurat Foundation, Edhi Foundation, PPAF, AKRSP, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, EDHI FOUNDATION, KHUSHAL PAKISTAN, SARHAD RSP, WATAN CARD, SINDH RSP, PPAF (AND PROGRAM FUNDED UNDER",39.0,31.0,21.0,28.0,4.0,4.0,12.0,24.0,69723.0
102040708.0,16.0,8.0,4081628336.0,11.0,14.0,7.0,5.0,4.0,9.0,5.0,6.0,8.0,5.0,6.0,8.0,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,16072.0,297.0,1.0,30.0,18.0,136.0,8.0,8.0,"Khushal Pakistan, BISP, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, SINDH RSP, EDHI FOUNDATION, AURAT FOUNDATION, SARHAD RSP, KHUSHAL PAKISTAN, WATAN CARD, PPAF (AND PROGRAM FUNDED UNDER",38.0,14.0,11.0,32.0,4.0,4.0,16.0,28.0,70158.0
103050809.0,3.0,9.0,3091524273.0,15.0,12.0,22.0,4.0,6.0,3.0,4.0,5.0,8.0,4.0,6.0,8.0,5.0,6.0,8.0,1.0,0.0,30.0,5.0,6.0,7.0,8.0,1.0,4.0,0.0,6030.0,59.0,2.0,0.0,4.0,133.0,5.0,3.0,"Watan Card, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, NRSP, PRSP, Sindh RSP, Sarhad RSP, KHUSHAL PAKISTAN, SARHAD RSP, SINDH RSP, EDHI FOUNDATION, WATAN CARD, AURAT FOUNDATION",8.0,12.0,3.0,27.0,3.0,3.0,15.0,24.0,70355.0
103060910.0,6.0,9.0,3091827306.0,9.0,12.0,-87.0,4.0,-99.0,0.0,4.0,5.0,7.0,4.0,5.0,6.0,5.0,6.0,8.0,2.0,0.0,70.0,8.0,9.0,16.0,12.0,8.0,3.0,0.0,4019.0,95.0,2.0,0.0,6.0,133.0,3.0,3.0,"NRSP, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, PRSP, Sindh RSP, Sarhad RSP, SARHAD RSP, SINDH RSP, EDHI FOUNDATION, PPAF (AND PROGRAM FUNDED UNDER, KHUSHAL PAKISTAN",8.0,6.0,3.0,30.0,3.0,3.0,18.0,27.0,70787.0
103061011.0,9.0,9.0,3091830339.0,11.0,14.0,10.0,4.0,6.0,-99.0,5.0,6.0,7.0,4.0,8.0,6.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3975.0,37.0,2.0,0.0,6.0,133.0,4.0,3.0,"PRSP, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, Sindh RSP, Sarhad RSP, EDHI FOUNDATION, SINDH RSP, AURAT FOUNDATION, WATAN CARD, SARHAD RSP",12.0,4.0,0.0,33.0,3.0,3.0,18.0,30.0,71219.0
103071112.0,12.0,9.0,3092133372.0,8.0,10.0,16.0,5.0,8.0,4.0,4.0,5.0,6.0,4.0,5.0,8.0,6.0,5.0,7.0,1.0,0.0,30.0,7.0,6.0,7.0,8.0,4.0,7.0,0.0,6027.0,44.0,0.0,0.0,4.0,133.0,5.0,3.0,"Sindh RSP, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sarhad RSP, EDHI FOUNDATION, AURAT FOUNDATION, SINDH RSP, WATAN CARD, PPAF (AND PROGRAM FUNDED UNDER, KHUSHAL PAKISTAN, SARHAD RSP",10.0,10.0,3.0,36.0,3.0,3.0,21.0,33.0,71651.0
104081213.0,5.0,20.0,5204060655.0,16.0,-93.0,3.0,-99.0,0.0,0.0,9.0,-99.0,0.0,9.0,4.0,-99.0,9.0,-99.0,0.0,3.0,-99.0,100.0,16.0,15.0,-85.0,11.0,11.0,7.0,0.0,10000.0,463.0,2.0,0.0,5.0,168.0,8.0,6.0,"Sarhad RSP, PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, WATAN CARD, EDHI FOUNDATION, SINDH RSP, KHUSHAL PAKISTAN",17.0,13.0,6.0,65.0,5.0,5.0,40.0,60.0,78781.0
104081314.0,8.0,16.0,4163252568.0,8.0,12.0,-86.0,-99.0,0.0,0.0,9.0,-99.0,0.0,9.0,4.0,-99.0,9.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,10024.0,529.0,1.0,0.0,3.0,159.0,8.0,6.0,"PPAF, AKRSP, Aurat Foundation, Edhi Foundation, Khushal Pakistan, BISP, Watan Card, NRSP, PRSP, Sindh RSP, Sarhad RSP, AURAT FOUNDATION, WATAN CARD, PPAF (AND PROGRAM FUNDED UNDER, SARHAD RSP, EDHI FOUNDATION, SINDH RSP",17.0,9.0,12.0,56.0,4.0,4.0,32.0,52.0,76400.0
