CID,NA_NoPSM,NA_TNoPPCamp,NA_NoCandM,NA_MaxCampM,NA_MaxCampM_NoR,NA_MaxCampM_DTD,NA_MaxCamp_AdvTV,NA_MaxCamp_AdvBB,NA_MaxCamp_AdvNews,NA_MaxCamp_AdvES,NA_MNA_PP,NA_MNA_NoV,NA_MNA_GroupMeets,NA_ElecFair,NA_MNA_WobM,NA_PPCampaign_PartyCode,NA_PPCampaign,PA_NoPSM,PA_TNoPPCamp,PA_NoCandM,PA_MaxCampM,PA_MaxCampM_NoR,PA_MaxCampM_DTD,PA_MaxCamp_AdvTV,PA_MaxCamp_AdvBB,PA_MaxCamp_AdvNews,PA_MaxCamp_AdvES,PA_MPA_PP,PA_MPA_NoV,PA_MPA_GroupMeets,PA_ElecFair,PA_MPA_WobM,PA_PPCampaign_PartyCode,PA_PPCampaign
215395758,8.0,2.0,0.0,2.0,25.0,1.0,1.0,1.0,1.0,1.0,7.0,20.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
213324952,1.0,2.0,0.0,2.0,30.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
102030405,1.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
105111819,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
105121920,1.0,3.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
107162526,2.0,7.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
104081415,2.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
104091516,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
101010101,1.0,6.0,4.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
217446566,2.0,3.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
318466970,1.0,3.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
318467172,1.0,3.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
217456768,2.0,4.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
112314748,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
213324950,1.0,2.0,0.0,2.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
213324849,1.0,2.0,0.0,2.0,20.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
112304546,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
217446465,2.0,4.0,1.0,6.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
214345253,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
215395859,8.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
