CID,NA_ElecFair,NA_MNA_GroupMeets,NA_MNA_NoV,NA_MNA_PP,NA_MNA_WobM,NA_MaxCampM,NA_MaxCampM_DTD,NA_MaxCampM_NoR,NA_MaxCamp_AdvBB,NA_MaxCamp_AdvES,NA_MaxCamp_AdvNews,NA_MaxCamp_AdvTV,NA_NoCandM,NA_NoPSM,NA_PPCampaign,NA_PPCampaign_PartyCode,NA_TNoPPCamp,PA_ElecFair,PA_MPA_GroupMeets,PA_MPA_NoV,PA_MPA_PP,PA_MPA_WobM,PA_MaxCampM,PA_MaxCampM_DTD,PA_MaxCampM_NoR,PA_MaxCamp_AdvBB,PA_MaxCamp_AdvES,PA_MaxCamp_AdvNews,PA_MaxCamp_AdvTV,PA_NoCandM,PA_NoPSM,PA_PPCampaign,PA_PPCampaign_PartyCode,PA_TNoPPCamp
101010101.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,4.0,1.0,7.0,378.0,6.0,1.0,2.0,3.0,12.0,2.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,3.0,1.0,7.0,378.0,7.0
101010202.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,378.0,5.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,378.0,5.0
101010203.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0
101020304.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,12.0,1.0,12.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,378.0,5.0
102030405.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
102030506.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,378.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,378.0,4.0
102030607.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
102040708.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,378.0,4.0
103050809.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,378.0,3.0
103060910.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,378.0,6.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,378.0,6.0
