CID,ND_Eventno,ND_ABC,ND_AM,ND_M_5y,ND_y1,ND_y2,ND_y3,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,ND_EventDesc,ND_M_y,ND_m1,ND_m2,ND_m3,ND_FG,ND_LG,ND_PNGO,ND_FNGO,ND_Oth,ND_UseAssist,ND_PG
101010101,1,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Fire,0.0,,,,,,,,,,
101010101,2,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Flood/typhoon,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,
101010101,3,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Drought,0.0,,,,,,,,,,
101010101,4,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Earthquake/landslide,0.0,,,,,,,,,,
101010101,5,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Famine,0.0,,,,,,,,,,
101010101,6,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Epidemic,0.0,,,,,,,,,,
101010101,7,,,0.0,,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Civil unrest or violence,0.0,,,,,,,,,,0.0
101010101,8,2.0,33.0,1.0,2011.0,,,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
101010202,1,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,0.0
101010202,2,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Fire,0.0,,,,,,,,,,
101010202,3,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Flood/typhoon,0.0,,,,,,,,,,
101010202,4,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Drought,0.0,,,,,,,,,,
101010202,5,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Earthquake/landslide,0.0,,,,,,,,,,
101010202,6,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Famine,0.0,,,,,,,,,,
101010202,7,,,0.0,,,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Epidemic,0.0,,,,,,,,,,
101010202,8,2.0,60.0,1.0,2011.0,2007.0,,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Civil unrest or violence,0.0,,,,,,,,,,
101010203,1,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Crop Insect/disease outbreak,0.0,,,,,,,,,,
101010203,2,2.0,4.0,1.0,2011.0,2010.0,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,
101010203,3,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Fire,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,
101010203,4,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Flood/typhoon,0.0,,,,,,,,,,
101010203,5,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Drought,0.0,,,,,,,,,,
101010203,6,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Earthquake/landslide,0.0,,,,,,,,,,
101010203,7,,,0.0,,,,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Famine,0.0,,,,,,,,,,
101010203,8,1.0,30.0,1.0,2011.0,2010.0,2009.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Epidemic,0.0,,,,,,,,,,
101020304,1,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Civil unrest or violence,0.0,,,,,,,,,,
101020304,2,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Crop Insect/disease outbreak,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,,
101020304,3,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,
101020304,4,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Fire,0.0,,,,,,,,,,0.0
101020304,5,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Flood/typhoon,1.0,3.0,2.0,,0.0,0.0,0.0,0.0,0.0,,
101020304,6,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Drought,0.0,,,,,,,,,,
101020304,7,,,0.0,,,,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Earthquake/landslide,1.0,4.0,,,,,,,,,
101020304,8,1.0,50.0,1.0,2011.0,2010.0,2009.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Famine,0.0,,,,,,,,,,
