CID,FID,Community,D_ID,M_ID,ND_ABC,ND_AM,ND_EventDesc,ND_Eventno,ND_FG,ND_FNGO,ND_LG,ND_M_5y,ND_M_y,ND_Oth,ND_PG,ND_PNGO,ND_UseAssist,ND_m1,ND_m2,ND_m3,ND_y1,ND_y2,ND_y3,P_ID,T_ID,UC_ID
101010101.0,1010101011.0,8.0,8.0,8.0,2.0,33.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011.0,0.0,0.0,8.0,8.0,8.0
101010202.0,1010102022.0,16.0,8.0,16.0,2.0,60.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,2007.0,0.0,8.0,8.0,16.0
101010203.0,1010102033.0,24.0,8.0,24.0,3.0,34.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4022.0,4020.0,2009.0,8.0,8.0,16.0
101020304.0,1010203044.0,32.0,8.0,32.0,1.0,50.0,"Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,2011.0,2010.0,2009.0,8.0,16.0,24.0
102030405.0,1020304051.0,8.0,16.0,40.0,3.0,225.0,"Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide",36.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6031.0,6034.0,6031.0,8.0,24.0,32.0
102030506.0,1020305062.0,16.0,16.0,48.0,3.0,110.0,"Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought",36.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,17.0,10.0,4020.0,4017.0,4013.0,8.0,24.0,40.0
102030607.0,1020306073.0,24.0,16.0,56.0,1.0,85.0,"Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire, Flood/typhoon",36.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,5.0,4.0,2008.0,2012.0,0.0,8.0,24.0,48.0
102040708.0,1020407084.0,32.0,16.0,64.0,3.0,92.0,"Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak, Fire",36.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,4024.0,4021.0,2008.0,8.0,32.0,56.0
103050809.0,1030508091.0,8.0,24.0,72.0,2.0,50.0,"Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,12.0,6.0,2008.0,0.0,0.0,8.0,40.0,64.0
103060910.0,1030609102.0,16.0,24.0,80.0,2.0,20.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence, Crop Insect/disease outbreak",36.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,21.0,6.0,7.0,2008.0,0.0,0.0,8.0,48.0,72.0
103061011.0,1030610113.0,24.0,24.0,88.0,0.0,0.0,"Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic, Civil unrest or violence",36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,80.0
103071112.0,1030711124.0,32.0,24.0,96.0,0.0,0.0,"Crop Insect/disease outbreak, Fire, Flood/typhoon, Drought, Earthquake/landslide, Famine, Epidemic",36.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,0.0,8.0,56.0,88.0
