CID,Land_Type,Land_S_12m,Land_S_NoP12m,Land_PPLD,Land_PPLD_Prblm,Survey_Round,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,Land_ID,Land_KGinMaund
101010101,1.0,1.0,5.0,1.0,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0
101010101,2.0,0.0,,1.0,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,2.0,40.0
101010101,3.0,0.0,,1.0,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,3.0,40.0
101010101,4.0,1.0,3.0,1.0,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,4.0,40.0
101010101,5.0,0.0,,1.0,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0
101010202,1.0,0.0,,1.0,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,1.0,40.0
101010202,2.0,0.0,,1.0,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,2.0,40.0
101010202,3.0,0.0,,1.0,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,3.0,40.0
101010202,4.0,0.0,,1.0,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,4.0,40.0
101010202,5.0,0.0,,1.0,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,5.0,40.0
101010203,1.0,1.0,3.0,1.0,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,1.0,40.0
101010203,2.0,0.0,,1.0,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,2.0,40.0
101010203,3.0,0.0,,1.0,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,3.0,40.0
101010203,4.0,1.0,5.0,0.0,4.0,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,4.0,40.0
101010203,5.0,1.0,2.0,0.0,3.0,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,5.0,40.0
101020304,1.0,0.0,,0.0,2.0,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,1.0,40.0
101020304,2.0,0.0,,1.0,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,2.0,40.0
101020304,3.0,0.0,,1.0,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,3.0,40.0
101020304,4.0,1.0,2.0,1.0,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,4.0,40.0
101020304,5.0,0.0,,0.0,2.0,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,5.0,40.0
102030405,1.0,1.0,6.0,1.0,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,1.0,40.0
102030405,2.0,0.0,,1.0,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,2.0,40.0
102030405,3.0,1.0,4.0,1.0,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,3.0,40.0
102030405,4.0,0.0,,1.0,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,4.0,40.0
102030405,5.0,0.0,,1.0,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,5.0,40.0
102030506,1.0,1.0,1.0,1.0,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,1.0,40.0
102030506,2.0,0.0,,1.0,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,2.0,40.0
102030506,3.0,0.0,,1.0,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,3.0,40.0
102030506,4.0,0.0,,1.0,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,4.0,40.0
102030506,5.0,0.0,,1.0,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,5.0,40.0
102030607,1.0,0.0,,1.0,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,1.0,40.0
102030607,2.0,0.0,,1.0,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,2.0,40.0
