CID,HF_ID,HF_AddM,HF_AddM_DistKM,HF_IVPM,HD_FPCampM,HF_HEM,HF_SFA_y,HF_CA_DHCW,HF_CA_MCHB,HF_Quality,HF_IVPM_Name,HD_FPCampM_Name,HF_HEM_Name,Survey_Round,Community,FID,P_ID,D_ID,T_ID,UC_ID,M_ID,HF_Type,HF_AddM_TimeMins,HF_T
101010101,1.0,0.0,5.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Basic Health Unit (Smaller),30.0,
101010101,2.0,0.0,5.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Rural Health Center (Large),30.0,
101010101,3.0,1.0,,,,,2008.0,2.0,2.0,2.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Clinic,30.0,
101010101,4.0,1.0,,,,,1979.0,,,,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Dispensary/pharmacy/drugstore,30.0,
101010101,5.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Private Medical Practitioner,,1.0
101010101,6.0,1.0,,,,,2007.0,1.0,,1.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Hospital,30.0,1.0
101010101,7.0,1.0,,,,,2004.0,1.0,1.0,1.0,,,,1.0,1.0,1010101011.0,1.0,1.0,1.0,1.0,1.0,Blood Bank,30.0,
101010202,1.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0, Doctor,30.0,
101010202,2.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0, Nurse,30.0,
101010202,3.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0, Pharmacist,30.0,
101010202,4.0,0.0,5.0,,,,,1.0,,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0, Trained midwife,,2.0
101010202,5.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0, Family planning worker,,
101010202,6.0,0.0,5.0,,,,,1.0,,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Community Health Worker,30.0,
101010202,7.0,0.0,5.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1010102022.0,1.0,1.0,1.0,2.0,2.0,Traditional birth attendant,,2.0
101010203,1.0,0.0,1.0,,,,,3.0,3.0,3.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0, Traditional Healer,,
101010203,2.0,0.0,10.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0, Medical Assistant,,
101010203,3.0,0.0,10.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,,30.0,
101010203,4.0,1.0,,,,,1979.0,,,,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Basic Health Unit (Smaller),,1.0
101010203,5.0,0.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Rural Health Center (Large),,2.0
101010203,6.0,0.0,10.0,,,,,2.0,,2.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Clinic,,
101010203,7.0,0.0,1.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1010102033.0,1.0,1.0,1.0,2.0,3.0,Dispensary/pharmacy/drugstore,,
101020304,1.0,0.0,4.0,,,,,2.0,2.0,2.0,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Private Medical Practitioner,,
101020304,2.0,0.0,14.0,,,,,2.0,2.0,2.0,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Hospital,,
101020304,3.0,0.0,4.0,,,,,2.0,2.0,2.0,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0,Blood Bank,,
101020304,4.0,1.0,,,,,1979.0,,,,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0, Doctor,,
101020304,5.0,0.0,3.0,,,,,2.0,2.0,2.0,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0, Nurse,,
101020304,6.0,1.0,,,,,1992.0,2.0,,2.0,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0, Pharmacist,,
101020304,7.0,1.0,,,,,1979.0,,,,,,,1.0,4.0,1010203044.0,1.0,1.0,2.0,3.0,4.0, Trained midwife,,
102030405,1.0,0.0,15.0,,,,,1.0,2.0,3.0,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0, Family planning worker,,
102030405,2.0,0.0,5.0,,,,,2.0,2.0,3.0,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Community Health Worker,,
102030405,3.0,1.0,,,,,1979.0,,,,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Traditional birth attendant,,
102030405,4.0,1.0,,,,,1979.0,,,,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0, Traditional Healer,,
102030405,5.0,0.0,22.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0, Medical Assistant,,
102030405,6.0,1.0,,,,,2009.0,2.0,,2.0,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,,,
102030405,7.0,1.0,,,,,1979.0,,,,,,,1.0,1.0,1020304051.0,1.0,2.0,3.0,4.0,5.0,Basic Health Unit (Smaller),20.0,
102030506,1.0,0.0,2.0,,,,,2.0,2.0,2.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Rural Health Center (Large),20.0,
102030506,2.0,0.0,15.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Clinic,20.0,
102030506,3.0,0.0,15.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Dispensary/pharmacy/drugstore,20.0,
102030506,4.0,0.0,15.0,,,,,2.0,,2.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Private Medical Practitioner,20.0,
102030506,5.0,0.0,30.0,,,,,3.0,1.0,3.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Hospital,20.0,
102030506,6.0,0.0,15.0,,,,,2.0,,2.0,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0,Blood Bank,20.0,
102030506,7.0,1.0,,,,,1979.0,,,,,,,1.0,2.0,1020305062.0,1.0,2.0,3.0,5.0,6.0, Doctor,20.0,
102030607,1.0,0.0,11.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0, Nurse,20.0,
102030607,2.0,0.0,11.0,,,,,2.0,2.0,2.0,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0, Pharmacist,,
102030607,3.0,1.0,,,,,1995.0,1.0,2.0,1.0,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0, Trained midwife,,
102030607,4.0,1.0,,,,,1979.0,,,,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0, Family planning worker,,
102030607,5.0,0.0,35.0,,,,,1.0,1.0,1.0,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Community Health Worker,20.0,
102030607,6.0,1.0,,,,,2000.0,1.0,,2.0,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0,Traditional birth attendant,,
102030607,7.0,1.0,,,,,1979.0,,,,,,,1.0,3.0,1020306073.0,1.0,2.0,3.0,6.0,7.0, Traditional Healer,,
102040708,1.0,1.0,,,,,1988.0,2.0,2.0,2.0,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0, Medical Assistant,,
102040708,2.0,0.0,10.0,,,,,1.0,1.0,2.0,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,,,
102040708,3.0,0.0,10.0,,,,,2.0,2.0,2.0,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Basic Health Unit (Smaller),30.0,
102040708,4.0,1.0,,,,,1979.0,,,,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Rural Health Center (Large),30.0,
102040708,5.0,0.0,10.0,,,,,1.0,1.0,1.0,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Clinic,30.0,
102040708,6.0,1.0,,,,,2004.0,2.0,,2.0,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Dispensary/pharmacy/drugstore,30.0,
102040708,7.0,1.0,,,,,1979.0,,,,,,,1.0,4.0,1020407084.0,1.0,2.0,4.0,7.0,8.0,Private Medical Practitioner,,
103050809,1.0,0.0,6.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Hospital,30.0,
103050809,2.0,0.0,6.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0,Blood Bank,60.0,
103050809,3.0,0.0,4.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0, Doctor,30.0,
103050809,4.0,1.0,,,,,1979.0,,,,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0, Nurse,30.0,
103050809,5.0,0.0,6.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0, Pharmacist,30.0,
103050809,6.0,0.0,6.0,,,,,2.0,,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0, Trained midwife,,
103050809,7.0,1.0,,,,,2008.0,2.0,2.0,2.0,,,,1.0,1.0,1030508091.0,1.0,3.0,5.0,8.0,9.0, Family planning worker,,
103060910,1.0,1.0,,,,,2002.0,2.0,2.0,2.0,,,,1.0,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Community Health Worker,30.0,
103060910,2.0,1.0,,,,,1994.0,2.0,2.0,2.0,,,,1.0,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0,Traditional birth attendant,,
103060910,3.0,1.0,,,,,2003.0,2.0,2.0,2.0,,,,1.0,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0, Traditional Healer,,
103060910,4.0,1.0,,,,,1979.0,,,,,,,1.0,2.0,1030609102.0,1.0,3.0,6.0,9.0,10.0, Medical Assistant,,
