CID,FID,HF_ID,Community,D_ID,HD_FPCampM,HD_FPCampM_Name,HF_AddM,HF_AddM_DistKM,HF_AddM_TimeMins,HF_CA_DHCW,HF_CA_MCHB,HF_HEM,HF_HEM_Name,HF_IVPM,HF_IVPM_Name,HF_Quality,HF_SFA_y,HF_T,HF_Type,M_ID,P_ID,Survey_Round,T_ID,UC_ID
101010101.0,1010101011.0,1.0,1.0,1.0,0.0,,0.0,5.0,30.0,2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Basic Health Unit (Smaller),1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,2.0,1.0,1.0,0.0,,0.0,5.0,30.0,2.0,2.0,0.0,,0.0,,2.0,0.0,0.0,Rural Health Center (Large),1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,3.0,1.0,1.0,0.0,,1.0,0.0,30.0,2.0,2.0,0.0,,0.0,,2.0,2008.0,0.0,Clinic,1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,4.0,1.0,1.0,0.0,,1.0,0.0,30.0,0.0,0.0,0.0,,0.0,,0.0,1979.0,0.0,Dispensary/pharmacy/drugstore,1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,5.0,1.0,1.0,0.0,,0.0,5.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,Private Medical Practitioner,1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,6.0,1.0,1.0,0.0,,1.0,0.0,30.0,1.0,0.0,0.0,,0.0,,1.0,2007.0,1.0,Hospital,1.0,1.0,1.0,1.0,1.0
101010101.0,1010101011.0,7.0,1.0,1.0,0.0,,1.0,0.0,30.0,1.0,1.0,0.0,,0.0,,1.0,2004.0,0.0,Blood Bank,1.0,1.0,1.0,1.0,1.0
101010202.0,1010102022.0,1.0,2.0,1.0,0.0,,0.0,5.0,30.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0, Doctor,2.0,1.0,1.0,1.0,2.0
101010202.0,1010102022.0,2.0,2.0,1.0,0.0,,0.0,5.0,30.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0, Nurse,2.0,1.0,1.0,1.0,2.0
101010202.0,1010102022.0,3.0,2.0,1.0,0.0,,0.0,5.0,30.0,1.0,1.0,0.0,,0.0,,1.0,0.0,0.0, Pharmacist,2.0,1.0,1.0,1.0,2.0
