CID,HF_ID,HF_Type,HF_Status,HF_Imune,HF_Dia,HF_FPS,HF_DoBabies,HF_ANC,HF_MT,HF_MS,HF_MI,HF_TMInj,HF_EOC,HF_PNC,HF_SupA_Med,HF_SupA_MedEqp,HF_SupA_MedPers
101010101,1,Basic Health Unit,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010101,2,Rural Health Center,3,,,,,,,,,,,,,,
101010101,3,Clinic,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
101010101,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010101,5,Private Medical Practitioner,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010101,6,Hospital,3,,,,,,,,,,,,,,
101010101,7,Blood Bank,3,,,,,,,,,,0.0,0.0,1.0,1.0,1.0
101010202,1,Basic Health Unit,3,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
101010202,2,Rural Health Center,3,,,,,,,,,,,,,,
101010202,3,Clinic,3,,,,,,,,,,,,,,
101010202,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010202,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
101010202,6,Hospital,3,,,,,,,,,,,,,,
101010202,7,Blood Bank,3,,,,,,,,,,,,,,
101010203,1,Basic Health Unit,3,,,,,,,,,,,,,,
101010203,2,Rural Health Center,3,,,,,,,,,,,,,,
101010203,3,Clinic,3,,,,,,,,,,,,,,
101010203,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101010203,5,Private Medical Practitioner,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,
101010203,6,Hospital,3,,,,,,,,,,,,,,
101010203,7,Blood Bank,3,,,,,,,,,,,,,,
101020304,1,Basic Health Unit,3,,,,,,,,,,,,,,
101020304,2,Rural Health Center,3,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
101020304,3,Clinic,3,,,,,,,,,,,,,,
101020304,4,Dispensary/pharmacy,3,,,,,,,,,,,,,,
101020304,5,Private Medical Practitioner,3,,,,,,,,,,,,,,
101020304,6,Hospital,3,,,,,,,,,,,,,,
101020304,7,Blood Bank,3,,,,,,,,,,,,,,
102030405,1,Basic Health Unit,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
102030405,2,Rural Health Center,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
